,calificaciones,fechas,reseñas,autor
17,5 de 5. Excelente,29 de oct de 2020,"Pocos hoteles en el mundo tiene riqueza lo siguiente: -Historia -Ubicacion -Arquitectura -Lujo -Atencion al cliente -Vista memorable a la ciudad El Gran Hotel de la Ciudad de Mexico, lo tiene todo!","hOrMi, Texas"
18,5 de 5. Excelente,21 de oct de 2020,Sin reseña,Guadalupe Alejandra
19,5 de 5. Excelente,21 de oct de 2020,Sin reseña,Cliente verificado
20,5 de 5. Excelente,4 de ene de 2021,"Es un lugar increíble, parece trasladarte en el tiempo, excepcional en el servicio, totalmente por encima de los estándares de higiene y limpieza. Un hotel único",Darío Amado
21,5 de 5. Excelente,19 de dic de 2020,Sin reseña,Ivonne
22,5 de 5. Excelente,17 de dic de 2020,"Es complicado por cuestión del COVID no poder ver el hotel en su esplendor, pero tienen las medidas que nos hacen sentir seguros, gracias por su servicio de hospitalidad y desistan vendrán tiempos mejores",Jose angel
23,4 de 5. Bueno,8 de dic de 2020,Hermoso y excelente servicio,ERIK ANGELES
24,5 de 5. Excelente,5 de dic de 2020,Precioso hotel a unos pasos del zócalo de la ciudad! Personal muy amable y la comida en la terraza espectacular!! Lo recomiendo al 100😊,"NormaZ, Tijuana BC"
25,5 de 5. Excelente,17 de nov de 2020,Sin reseña,jose de jesus
26,5 de 5. Excelente,5 de nov de 2020,Sin reseña,Cristina
27,5 de 5. Excelente,29 de oct de 2020,"Pocos hoteles en el mundo tiene riqueza lo siguiente: -Historia -Ubicacion -Arquitectura -Lujo -Atencion al cliente -Vista memorable a la ciudad El Gran Hotel de la Ciudad de Mexico, lo tiene todo!","hOrMi, Texas"
28,5 de 5. Excelente,21 de oct de 2020,Sin reseña,Guadalupe Alejandra
29,5 de 5. Excelente,21 de oct de 2020,Sin reseña,Cliente verificado
30,5 de 5. Excelente,28 de feb de 2020,Su arquitectura y la amabilidad del personal especialmente de José Luis y Jessica (concierge),Cliente verificado
31,5 de 5. Excelente,22 de feb de 2020,Sin reseña,Cliente verificado
32,5 de 5. Excelente,29 de ene de 2020,Exelente servicio El personal muy amable Una vista hermosa,Jesus
33,5 de 5. Excelente,16 de ene de 2020,La arquitectura del inmueble y las gentileza del personal así como las comodidades ofrecidas y la excepcional recepcion,Cliente verificado
34,5 de 5. Excelente,28 de dic de 2019,,FRANCISCO
35,5 de 5. Excelente,26 de dic de 2019,Estancia perfecta,ROSALBA
36,5 de 5. Excelente,21 de dic de 2019,"Excelente muy lindo, cómodo, servicio y atención de primera. Linda vista Una recomendación aclarar como funciona el servicio de parking al hacer el check in.",María Elena
37,5 de 5. Excelente,19 de dic de 2019,"Todo me gusto, el recibimiento de Salvador, y en resepcion el de Jose Luis",Cliente verificado
38,4 de 5. Bueno,26 de nov de 2019,"Las instalaciones estan adorables. La vista al zocalo, el elevador antiguo, los vitrales, etc.",Cliente verificado
39,5 de 5. Excelente,23 de nov de 2019,"Increíble lugar , la ubicación , la vista, el mantenimiento impecable, disfrutamos del atardecer en la preciosa terraza y la carne espectacular",María
40,5 de 5. Excelente,28 de feb de 2020,Su arquitectura y la amabilidad del personal especialmente de José Luis y Jessica (concierge),Cliente verificado
41,5 de 5. Excelente,22 de feb de 2020,Sin reseña,Cliente verificado
42,5 de 5. Excelente,29 de ene de 2020,Exelente servicio El personal muy amable Una vista hermosa,Jesus
43,5 de 5. Excelente,16 de ene de 2020,La arquitectura del inmueble y las gentileza del personal así como las comodidades ofrecidas y la excepcional recepcion,Cliente verificado
44,5 de 5. Excelente,28 de dic de 2019,,FRANCISCO
45,5 de 5. Excelente,26 de dic de 2019,Estancia perfecta,ROSALBA
46,5 de 5. Excelente,21 de dic de 2019,"Excelente muy lindo, cómodo, servicio y atención de primera. Linda vista Una recomendación aclarar como funciona el servicio de parking al hacer el check in.",María Elena
47,5 de 5. Excelente,19 de dic de 2019,"Todo me gusto, el recibimiento de Salvador, y en resepcion el de Jose Luis",Cliente verificado
48,4 de 5. Bueno,26 de nov de 2019,"Las instalaciones estan adorables. La vista al zocalo, el elevador antiguo, los vitrales, etc.",Cliente verificado
49,5 de 5. Excelente,23 de nov de 2019,"Increíble lugar , la ubicación , la vista, el mantenimiento impecable, disfrutamos del atardecer en la preciosa terraza y la carne espectacular",María
50,5 de 5. Excelente,3 de oct de 2019,"Me gusto todo , especialmente la atención del personal ; súper amables todos y también me encanto la limpieza en las habitaciones ,,, sabanas , toallas , todo impecable , también la comida ( el desayuno buffet) , la terraza una vista al socalo muy bonita .,",Cliente verificado
51,5 de 5. Excelente,1 de oct de 2019,Sin reseña,Cliente verificado
52,5 de 5. Excelente,1 de oct de 2019,Hermoso hotel enfrente del Zócalo excelente servicio y súper lujoso,"Arturo, Durango"
53,5 de 5. Excelente,30 de sep de 2019,Todo muy bien ! Me dieron un ascenso de habitación con muy bonita vista,Cliente verificado
54,5 de 5. Excelente,29 de sep de 2019,Excelente opción y ubicación muy amables en el hotel y muy buenas recomendaciones de turismo que nos dieron,Patricia L
55,5 de 5. Excelente,28 de sep de 2019,"EXCELENTE HOTEL Y MUY BUEN SERVICIO, SOLO COMO COMENTARIO PODRIAN TENER TOALLAS MAS SUAVES MIL GRACIAS",Sofia
56,5 de 5. Excelente,16 de sep de 2019,Todo es perfecto! Gracias a jaime y salvador y todo el personal que hizo lo mejor para atendernos,"Jorge, CanCun"
57,5 de 5. Excelente,9 de sep de 2019,"Excelente estancia, una atención premier!! Mejor de lo que me imaginaba.",Cecilia
58,4 de 5. Bueno,2 de sep de 2019,Me parecen únicos los elevadores antiguos y el domo de vitrales de colores es hermoso y su terraza con vista a la explanada al zócalo,Cliente verificado
59,5 de 5. Excelente,31 de ago de 2019,Sin reseña,Carlos
60,5 de 5. Excelente,30 de ago de 2019,"No había agua en la noche a las 3:00 a.m. ES una lastima, ya que buen servicio en generala.",Cliente verificado
61,5 de 5. Excelente,27 de ago de 2019,Un edificio hermoso y bien conservado. Gran atención del personal.,Cliente verificado
62,5 de 5. Excelente,14 de ago de 2019,"Es un gran hotel, hermoso en todo, lugar súper, terraza hermosa vista, servicio extraordinario.",Cliente verificado
63,5 de 5. Excelente,12 de ago de 2019,exelente.un buen fin de semana de descanso.,Elizabeth
64,5 de 5. Excelente,31 de jul de 2019,"Excelente la atención, el servicio es de primera y el lugar es precioso",Cliente verificado
65,5 de 5. Excelente,28 de jul de 2019,Sin reseña,Cliente verificado
66,5 de 5. Excelente,26 de jul de 2019,Sin reseña,Yolanda
67,5 de 5. Excelente,25 de jul de 2019,"Atención personalizada de excelencia ,ubicacion y transporte accesibles",Cliente verificado
68,5 de 5. Excelente,22 de jul de 2019,"Cumplió mis expectativas, espectacular hotel con vista privilegiada desde la habitación que se me asignó. El personal muy profesional y pendiente de que mi estancia fuera placentera. Muy recomendable.","JUSTO ENRIQUE, Chihuahua Mexico"
69,5 de 5. Excelente,22 de jul de 2019,excelente servicio y excelente trato. el elegir este hotel para la fiesta de xv años de mi hija fue una acertada eleccion. aunado a las comodas habitaciones,julio cesar
70,5 de 5. Excelente,20 de jul de 2019,"Mit lindo hotel, super bien ubicado, bonito restaurante terraza con vista magnífica al Zócalo, buena comida. Lo recomendo.",EDMOND
71,5 de 5. Excelente,14 de jul de 2019,Excelente en TODO,ALFONSO JAVIER
72,4 de 5. Bueno,7 de jul de 2019,ME GUSTO LA HABITACIÓN UN POCO MEJORADA EN CUANTO A INSTALACIONES,"DORA, ESTADO DE GUERRERO"
73,5 de 5. Excelente,7 de jul de 2019,"Me gusto la calidad de las personas que lo reciben, el lugar es espectacular y la mejor ubicación, no me gusto que el aire acondicionado de la habitación no funcionara bien","JORGE, Guatemala"
74,5 de 5. Excelente,30 de jun de 2019,Sin reseña,Cliente verificado
75,5 de 5. Excelente,28 de jun de 2019,Sin reseña,Cliente verificado
76,5 de 5. Excelente,25 de jun de 2019,"servicio excelente, instalaciones fabulosas, atención fabulosa, ubicación perfecta, sin duda volvería. Muy recomendable",Cliente verificado
77,5 de 5. Excelente,25 de jun de 2019,Sin reseña,Cliente verificado
78,5 de 5. Excelente,24 de jun de 2019,"Tiene una excelente ubicación., buen servicio, excelente decoración",Cliente verificado
79,4 de 5. Bueno,18 de jun de 2019,Sin reseña,Cliente verificado
80,5 de 5. Excelente,20 de jul de 2019,"Mit lindo hotel, super bien ubicado, bonito restaurante terraza con vista magnífica al Zócalo, buena comida. Lo recomendo.",EDMOND
81,5 de 5. Excelente,14 de jul de 2019,Excelente en TODO,ALFONSO JAVIER
82,4 de 5. Bueno,7 de jul de 2019,ME GUSTO LA HABITACIÓN UN POCO MEJORADA EN CUANTO A INSTALACIONES,"DORA, ESTADO DE GUERRERO"
83,5 de 5. Excelente,7 de jul de 2019,"Me gusto la calidad de las personas que lo reciben, el lugar es espectacular y la mejor ubicación, no me gusto que el aire acondicionado de la habitación no funcionara bien","JORGE, Guatemala"
84,5 de 5. Excelente,30 de jun de 2019,Sin reseña,Cliente verificado
85,5 de 5. Excelente,28 de jun de 2019,Sin reseña,Cliente verificado
86,5 de 5. Excelente,25 de jun de 2019,"servicio excelente, instalaciones fabulosas, atención fabulosa, ubicación perfecta, sin duda volvería. Muy recomendable",Cliente verificado
87,5 de 5. Excelente,25 de jun de 2019,Sin reseña,Cliente verificado
88,5 de 5. Excelente,24 de jun de 2019,"Tiene una excelente ubicación., buen servicio, excelente decoración",Cliente verificado
89,4 de 5. Bueno,18 de jun de 2019,Sin reseña,Cliente verificado
90,5 de 5. Excelente,15 de abr de 2019,"Siempre había querido hospedarme ahí, excelente experiencia. Desde la bienvenida con una copa de champán, hasta la amabilidad y rapidez para el taxi al aeropuerto. Comodidad y confort en la habitación. Ubicación inmejorable, el hotel una joya. Gracias.",Maria del Rosario
91,5 de 5. Excelente,13 de abr de 2019,Sin reseña,Cliente verificado
92,5 de 5. Excelente,10 de abr de 2019,Sin reseña,Cliente verificado
93,5 de 5. Excelente,8 de abr de 2019,Original. Limpio. Centrico. Excelente servicio. Cada detalle único.,Gorethy
94,5 de 5. Excelente,4 de abr de 2019,La decoración es increíble. Volveré pronto ya que me atendieron excelentemente,Cliente verificado
95,5 de 5. Excelente,4 de abr de 2019,"Excelente servicio, ubicación y seguridad pero sobre todo el hotel esta precioso.","Marco Antonio, hermosillo"
96,4 de 5. Bueno,30 de mar de 2019,"We loved the Hotel, it's staff and location. The only reason we did not rate it 5 stars was that we found the breakfast buffet service and food wanting and room service was not available as early or as late as we needed.",Cliente verificado
97,5 de 5. Excelente,23 de mar de 2019,"Este hotel es una maravilla, muy buenos servicios, limpieza, amabilidad de los colaboradore, en resumen: Uno de los mejores hoteles en donde me he hospedado.",LUIS
98,5 de 5. Excelente,12 de mar de 2019,"Su estilo esta espectacular . Todo me gusto muy bonito , centrico a lo que yo buscaba. comodisimas sus camas",jesus
99,4 de 5. Bueno,25 de feb de 2019,"Interior, decoración, historia y vista hermosa al Zócalo de la Ciudad de México","Toño, Pachuca"
100,5 de 5. Excelente,19 de feb de 2019,Sin reseña,Cliente verificado
101,5 de 5. Excelente,2 de feb de 2019,"We couldn't have been happier with our stay at this beautiful and historic hotel. From the complimentary champagne welcome to the personalized attention from all the staff we can't recommend this more. It's an extraordinary value. I have stayed at the Four Seasons and The Ritz-Carltons of the world and have not been treated better than I was at this hotel. It's also in the best location in Mexico City. Many thanks to the incredible staff, especially Gabriela, Enrique, Jose Luis and Jaime! Thank you for the great memories!",Kelly
102,4 de 5. Bueno,14 de ene de 2019,No servia la cafetera de la habitación y lo demás sin problema,Cliente verificado
103,5 de 5. Excelente,13 de ene de 2019,"Impresionante lugar, la atención de José Luis y Víctor es de reconocerse. La decoración te mantiene en el ambiente de principios del siglo XX y la vista al zócalo ... espectacular",Cliente verificado
104,5 de 5. Excelente,12 de ene de 2019,"El personal muy amable el concierge todos, y el hotel es lmuy bonito recomendado",Cliente verificado
105,5 de 5. Excelente,9 de ene de 2019,"No puedo decir otra cosa más que ha sido una experiencia excelente. Super, super recomendable.",Cliente verificado
106,4 de 5. Bueno,21 de dic de 2018,"Excelente ubicación, instalaciones impecables, en la cafetería un poco lento el servicio.",Mariana
107,5 de 5. Excelente,13 de dic de 2018,simplemente Hermoso!! personal excelente una de las mejores experiencias que he tenido,"fabiola, Playa del Carmen"
108,5 de 5. Excelente,11 de dic de 2018,Sin reseña,Cliente verificado
109,4 de 5. Bueno,7 de dic de 2018,Sin reseña,Gerardo Alberto
110,5 de 5. Excelente,7 de dic de 2018,Sin reseña,Monica
111,5 de 5. Excelente,6 de dic de 2018,Comodo y cercano a actividades en centro histórico,Cliente verificado
112,5 de 5. Excelente,6 de dic de 2018,Un hotel de los mejores en cdmx con mucha elegancia y comodidad.. Muy recomendado x sus actividades cercanas ..,Cliente verificado
113,5 de 5. Excelente,5 de dic de 2018,"Hermoso hotel con ubicación inmejorable. El personal muy amable, la comodidad de la habitación excelente.",Norma
114,5 de 5. Excelente,3 de dic de 2018,"Cuenta con todo lo necesario para estar un par de días, ambiente agradable, comodidad y calidez en el espacio y personal.",Cliente verificado
115,5 de 5. Excelente,20 de nov de 2018,Sin reseña,Cliente verificado
116,5 de 5. Excelente,12 de nov de 2018,Pasamos muy buen hospedaje. Gracias,Rafael Dulijh
117,5 de 5. Excelente,12 de nov de 2018,Sin reseña,Cliente verificado
118,5 de 5. Excelente,22 de oct de 2018,Hotel bellísimo.. instalaciones muy bonitas... Muy bien cuidado... me encantó,MARTHA
119,5 de 5. Excelente,22 de oct de 2018,"Excelente servicio. Desde la recepción, la atención no pudo ser mejor.",David
120,5 de 5. Excelente,7 de dic de 2018,Sin reseña,Monica
121,5 de 5. Excelente,6 de dic de 2018,Comodo y cercano a actividades en centro histórico,Cliente verificado
122,5 de 5. Excelente,6 de dic de 2018,Un hotel de los mejores en cdmx con mucha elegancia y comodidad.. Muy recomendado x sus actividades cercanas ..,Cliente verificado
123,5 de 5. Excelente,5 de dic de 2018,"Hermoso hotel con ubicación inmejorable. El personal muy amable, la comodidad de la habitación excelente.",Norma
124,5 de 5. Excelente,3 de dic de 2018,"Cuenta con todo lo necesario para estar un par de días, ambiente agradable, comodidad y calidez en el espacio y personal.",Cliente verificado
125,5 de 5. Excelente,20 de nov de 2018,Sin reseña,Cliente verificado
126,5 de 5. Excelente,12 de nov de 2018,Pasamos muy buen hospedaje. Gracias,Rafael Dulijh
127,5 de 5. Excelente,12 de nov de 2018,Sin reseña,Cliente verificado
128,5 de 5. Excelente,22 de oct de 2018,Hotel bellísimo.. instalaciones muy bonitas... Muy bien cuidado... me encantó,MARTHA
129,5 de 5. Excelente,22 de oct de 2018,"Excelente servicio. Desde la recepción, la atención no pudo ser mejor.",David
130,5 de 5. Excelente,10 de ago de 2018,"Es una joya el hotel y la gente que labora en el lo sabe y se siente orgulloso de su edificio, de su entorno y de su trabajo... siempre es ideal si tienes trabajo en lugares cercanos",Jorge
131,5 de 5. Excelente,6 de ago de 2018,"El personal super amable, atentos, mucha calidad en el servicio, tienen el detalle de darte la bienvenida contandote parte de la historia del recinto mientras subes por el elevador clásico del hotel, otro detalle es el postre de bienvenida, un pequeño detalle pero muy original de poner tu nombre en el plato.","Marv, CDMX"
132,5 de 5. Excelente,5 de ago de 2018,"El edificio está hermoso, situado en pleno centro, una vista increíble y el personal excelente. Súper recomendado",Cliente verificado
133,4 de 5. Bueno,25 de jul de 2018,Sin reseña,Ernesto
134,5 de 5. Excelente,24 de jul de 2018,"No ofrecen las mismas habitaciones que aparecen en la página de Expedia. Cuando me entregaron la habitación que yo rente, no tenía nada que ver en espacio y mobiliario con las fotografías que aparecían en la página con la tarifa que contrate.",Cliente verificado
135,5 de 5. Excelente,14 de jul de 2018,Muy bien todo el servicio. Lo recomiendo ampliamente,Cliente verificado
136,5 de 5. Excelente,30 de jun de 2018,El hotel yo le daría la categoría de diamante. Es un hotel que compite con los mejores del mundo. Siempre que voy a mexcio me hospedo en él y me hacen sentir como en casa,Cliente verificado
137,4 de 5. Bueno,24 de jun de 2018,Se les olvido un servicio solicitado a la habitacion y el area de restaurant a los comensales no se les indica el respetar la privacidad de una mesa a otra para la toma de sus fotos.,Cliente verificado
138,5 de 5. Excelente,21 de jun de 2018,todo exelente.,Juan Jesus
139,4 de 5. Bueno,11 de jun de 2018,"El hotel como instalación muy bueno pero hubo situaciones por mejorar como : La cortina de la habitación. 214 un poco caída, muy difícil de cerrar. No asearon la bandeja de jabones . Para disfrutar de una copa en la terraza en la noche del sábado nos hicieron esperar como 15 minutos que pq debían alistar mesa cuando estaba la mayoría de las mesas desocupadas. El valor que cobran de servicio de taxi a cualquier parte es el doble del valor normal.",PEDRO ALEJO
140,5 de 5. Excelente,30 de may de 2018,"Te transportas a un Mexico antiguo, estuvimos muy contentos. La única desventaja es que no hay estacionamiento.",Cliente verificado
141,5 de 5. Excelente,22 de may de 2018,Best service! Love the breakfast for $200 pesos. Well worth it!,Mary
142,5 de 5. Excelente,15 de may de 2018,"Excelente hotel, inmejorable ubicación y la atención del personal muy especial, un 10",David
143,5 de 5. Excelente,14 de may de 2018,"El hotel es increíble!!, el trato x parte de la señorita Gabriela, y los srs. José Luis, Javier y Jorge fabuloso. Estuvieron al pendiente de nosotros desde nuestra llegada hasta nuestra partida, por ejemplo nos recibieron con champán... hay comodidades de servicio en el cuarto. Y al final nos obsequiaron un fabuloso detalle. Como dije siempre atentos hasta el final.",Cliente verificado
144,5 de 5. Excelente,14 de may de 2018,Excelente y muy bello hotel. De los más lindos que he conocido. el personal es súper agradable y atento y te hacen sentir como en casa. El lobby es espectacular con un domo enorme de Tiffany y elevadores antiguos en perfecto funcionamiento. Limpieza excepcional. Habitaciones amplias y bellamente decoradas. Restaurante con una maravillosa vista al zócalo de la ciudad. Y lo mejor es el precio razonable para un hotel de cinco estrellas,"Aurelian, Yucatan México"
145,4 de 5. Bueno,11 de may de 2018,"Nice retrò style hotel in the center of historical city of Mexico City. All is old style, but fascinating. The hotel is silent and neat historical places to visit. Breakfast is classic Mexican. This is not a modern design hotel.","Matteo, Milan"
146,5 de 5. Excelente,9 de may de 2018,Excelente Hotel en el Centro de la Ciudad de México,LUIS
147,5 de 5. Excelente,7 de may de 2018,"En general muy bien, Fernando en la entrada, muy amable, todos. Solo que para pedir el auto, el estacionamiento donde lo dejan esta lejos",Laura
148,5 de 5. Excelente,7 de may de 2018,Sin reseña,Cliente verificado
149,5 de 5. Excelente,29 de abr de 2018,"habitación muy amplia y bien arreglada. Te reciben con una copa de champagne y un detalle en el cuarto. Muy buen servicio. El único detalle es el estacionamiento, está en reparación y hay que dejar el coche con un valet parking que está en una de las calles aledañas.",Tania
150,5 de 5. Excelente,28 de abr de 2018,Es un hotel centrico y muy agradable porpersonal y servivio,Cliente verificado
151,5 de 5. Excelente,20 de abr de 2018,"Super buen servicio todo excelente lo único es que tienes que llegar caminando porque es una calle peatonal pero desde que entras todo es lindo, te suben a la habitación por el elevador antiguo que tiene mas de 100 años","diana , cancun"
152,5 de 5. Excelente,18 de abr de 2018,"Emblemático hotel cuidan mucho los detalles para conservar la antigüedad , muy atento el personal , excelente ubicación",Cliente verificado
153,5 de 5. Excelente,17 de abr de 2018,"Hotel ubicado en el zócalo de Ciudad de México una terraza con una vista espectacular ,el hotel muy lindo las habitaciones grandes muy cómodas es perfecto pAra visitar el centro, Volvería nos gusto mucho",Pilar
154,5 de 5. Excelente,16 de abr de 2018,,Federico Alberto
155,5 de 5. Excelente,9 de abr de 2018,"Majestuoso, una joya de lugar, increíble vista desde su terraza al Zocalo. Vale la pena!","Ale, San Pedro Garza Garcia, NL"
156,5 de 5. Excelente,4 de abr de 2018,"EXCELENTE ATENCION DE TODO EL PERSONAL, EN MI SIGUIENTE VISITA A MEXICO ME QUEDARE NUEVAMENTE CON ELLOS",JUAN M
157,4 de 5. Bueno,3 de abr de 2018,"Beautiful hotel, the architecture is great, the service and attention is outstanding. The view is privilege you can see the ZOCALO and is excellent to visit the downtown mexico. The only recommendation the bed is too soft Ned’s to be more comfortable.",Cliente verificado
158,5 de 5. Excelente,27 de mar de 2018,,Maria
159,5 de 5. Excelente,24 de mar de 2018,"Es una pieza histórica el hotel. Pero la jr suite con vista al Zócalo está excelentemente remodelada, con una insonoridad total, gracias a su ventaneria especial moderna, baño, closet,recámara impecables, cama muy cómoda, y la ubicacion es mágica para quien gusta del centro histórico y su crisol de experiencias culturales de todo tipo.","mike, Monterrey"
160,5 de 5. Excelente,16 de mar de 2018,"Un problema llegar en auto, además muy caro el estacionamiento. Destaco la amabilidad de la gente que labora en el hotel. De primera",Armando
161,5 de 5. Excelente,10 de mar de 2018,Un hotel de lo mejor! Con un vista al zócalo inigualable! Con miles de detalles! Es todo un icono para visitar! Me encanto y volveré definitivamente! Tuvieron muchos detalles hacia nosotros!,Cliente verificado
162,5 de 5. Excelente,6 de mar de 2018,"Excelente estancia, personal muy amable, recomendable 100% , y por supuesto con la firme idea de volver. Felicidades por mantener esa parte de la historia de mi México.",Gabino
163,5 de 5. Excelente,26 de feb de 2018,"Con una vista formidable al zócalo, hay una terraza arriba que esta muy agradable",Cliente verificado
164,5 de 5. Excelente,22 de feb de 2018,"El hotel es una joya dentro del centro histórico que vale la pena conocer, la terraza muestra una excelente vista aunque solo ofrecen buffet, no puedes pedir a la carta y la calidad de los alimentos es muy mala, el personal es muy amable. Al ser un inmueble muy antiguo las instalaciones también y puedes escuchar ruidos extraños.","Eduardo, Toluca, MX"
165,5 de 5. Excelente,19 de feb de 2018,"La encimó fue muy buena, y las peticiones especiales que hice superaron mis expectativas. Muy bien!!!","Jesus, Pachuca"
166,4 de 5. Bueno,9 de feb de 2018,El Hotel es majestuoso. El servicio del personal muy bueno salvo un pequeño inconveniente al pedir un masaje. Primero se dijo que era 60USD pero se cobraron 80 pues al hacer el cambio en el hotel este salio mucho más caro. La recomendación es cambiar dinero cerca al hotel y no en el hotel. Lo demás estuvo muy bien.,Octavio
167,5 de 5. Excelente,6 de feb de 2018,"Una noche de estancia, servicio excelente, su terraza referente para la vista del zócalo , muchos lugares cercanos que visitar en centro histórico, un hotel hermoso en arquitectura , recomendado 100%","Arturo, Chihuahua"
168,5 de 5. Excelente,5 de feb de 2018,"Muy buena, el personal y las instalaciones de primera",Cliente verificado
169,5 de 5. Excelente,3 de feb de 2018,"Un hotel con historia y tradición, vale la pena visitar al menos una vez en la vida.",Cliente verificado
170,5 de 5. Excelente,16 de mar de 2018,"Un problema llegar en auto, además muy caro el estacionamiento. Destaco la amabilidad de la gente que labora en el hotel. De primera",Armando
171,5 de 5. Excelente,10 de mar de 2018,Un hotel de lo mejor! Con un vista al zócalo inigualable! Con miles de detalles! Es todo un icono para visitar! Me encanto y volveré definitivamente! Tuvieron muchos detalles hacia nosotros!,Cliente verificado
172,5 de 5. Excelente,6 de mar de 2018,"Excelente estancia, personal muy amable, recomendable 100% , y por supuesto con la firme idea de volver. Felicidades por mantener esa parte de la historia de mi México.",Gabino
173,5 de 5. Excelente,26 de feb de 2018,"Con una vista formidable al zócalo, hay una terraza arriba que esta muy agradable",Cliente verificado
174,5 de 5. Excelente,22 de feb de 2018,"El hotel es una joya dentro del centro histórico que vale la pena conocer, la terraza muestra una excelente vista aunque solo ofrecen buffet, no puedes pedir a la carta y la calidad de los alimentos es muy mala, el personal es muy amable. Al ser un inmueble muy antiguo las instalaciones también y puedes escuchar ruidos extraños.","Eduardo, Toluca, MX"
175,5 de 5. Excelente,19 de feb de 2018,"La encimó fue muy buena, y las peticiones especiales que hice superaron mis expectativas. Muy bien!!!","Jesus, Pachuca"
176,4 de 5. Bueno,9 de feb de 2018,El Hotel es majestuoso. El servicio del personal muy bueno salvo un pequeño inconveniente al pedir un masaje. Primero se dijo que era 60USD pero se cobraron 80 pues al hacer el cambio en el hotel este salio mucho más caro. La recomendación es cambiar dinero cerca al hotel y no en el hotel. Lo demás estuvo muy bien.,Octavio
177,5 de 5. Excelente,6 de feb de 2018,"Una noche de estancia, servicio excelente, su terraza referente para la vista del zócalo , muchos lugares cercanos que visitar en centro histórico, un hotel hermoso en arquitectura , recomendado 100%","Arturo, Chihuahua"
178,5 de 5. Excelente,5 de feb de 2018,"Muy buena, el personal y las instalaciones de primera",Cliente verificado
179,5 de 5. Excelente,3 de feb de 2018,"Un hotel con historia y tradición, vale la pena visitar al menos una vez en la vida.",Cliente verificado
180,5 de 5. Excelente,27 de oct de 2017,"La visita resultó ser mejor de lo esperado, la atención en el hotel es suprema!, por desgracia a causa del terremoto del pasado día 19 de septiembre no cuentan con estacionamiento y es muy complicado el manejo del equipaje, aunque el personal te ayuda en todo hay que llevar las maletas a la esquina y ahí esperar para poder subirlas al auto ya que la policía impide el acceso a la puerta del hotel, pero no es nada a cambio de la la gran atención recibida",ALFREDO JESUS
181,5 de 5. Excelente,27 de oct de 2017,Muy buena atencion... Y el restaurant de la terraza muy bien...,"J.S, Hermosillo, Son."
182,5 de 5. Excelente,27 de oct de 2017,"Atención personal, instalaciones y en general todo altamente satisfactorio.",Carlos A.
183,5 de 5. Excelente,23 de oct de 2017,Está muy bien conservado el hotel es una joya arquitectónica,"l, mexico"
184,5 de 5. Excelente,16 de oct de 2017,"La atencion es excelente desde la entrada, botones, camaristas, etc. La terraza del restaurante es de nivel mundial y la vista inmejorable.",Oscar
185,5 de 5. Excelente,7 de oct de 2017,"Un hotel fabuloso, ubicado en el corazón del país, con una arquitectura que te lleva al pasado glorioso de la Ciudad de México. El trato de quienes laboran en El Gran Hotel Ciudad de México es excelente, lleno de armonía y de calidez, ¡gracias por brindarnos esta experiencia!. Mis felicitaciones para todos, desde el Bellboy hasta su Gerente General.","Roberto, Cancún, Q.Roo"
