,opinion,año,mes,retroalimentacion
96,"We loved the Hotel, it's staff and location. The only reason we did not rate it 5 stars was that we found the breakfast buffet service and food wanting and room service was not available as early or as late as we needed.",2019,3,1
97,"Este hotel es una maravilla, muy buenos servicios, limpieza, amabilidad de los colaboradore, en resumen: Uno de los mejores hoteles en donde me he hospedado.",2019,3,1
98,"Su estilo esta espectacular . Todo me gusto muy bonito , centrico a lo que yo buscaba. comodisimas sus camas",2019,3,1
99,"Interior, decoración, historia y vista hermosa al Zócalo de la Ciudad de México",2019,2,1
100,Sin reseña,2019,2,1
101,"We couldn't have been happier with our stay at this beautiful and historic hotel. From the complimentary champagne welcome to the personalized attention from all the staff we can't recommend this more. It's an extraordinary value. I have stayed at the Four Seasons and The Ritz-Carltons of the world and have not been treated better than I was at this hotel. It's also in the best location in Mexico City. Many thanks to the incredible staff, especially Gabriela, Enrique, Jose Luis and Jaime! Thank you for the great memories!",2019,2,1
102,No servia la cafetera de la habitación y lo demás sin problema,2019,1,1
103,"Impresionante lugar, la atención de José Luis y Víctor es de reconocerse. La decoración te mantiene en el ambiente de principios del siglo XX y la vista al zócalo ... espectacular",2019,1,1
104,"El personal muy amable el concierge todos, y el hotel es lmuy bonito recomendado",2019,1,1
105,"No puedo decir otra cosa más que ha sido una experiencia excelente. Super, super recomendable.",2019,1,1
106,"Excelente ubicación, instalaciones impecables, en la cafetería un poco lento el servicio.",2018,12,1
107,simplemente Hermoso!! personal excelente una de las mejores experiencias que he tenido,2018,12,1
108,Sin reseña,2018,12,1
109,Sin reseña,2018,12,1
110,Sin reseña,2018,12,1
111,Comodo y cercano a actividades en centro histórico,2018,12,1
112,Un hotel de los mejores en cdmx con mucha elegancia y comodidad.. Muy recomendado x sus actividades cercanas ..,2018,12,1
113,"Hermoso hotel con ubicación inmejorable. El personal muy amable, la comodidad de la habitación excelente.",2018,12,1
114,"Cuenta con todo lo necesario para estar un par de días, ambiente agradable, comodidad y calidez en el espacio y personal.",2018,12,1
115,Sin reseña,2018,11,1
116,Pasamos muy buen hospedaje. Gracias,2018,11,1
117,Sin reseña,2018,11,1
118,Hotel bellísimo.. instalaciones muy bonitas... Muy bien cuidado... me encantó,2018,10,1
119,"Excelente servicio. Desde la recepción, la atención no pudo ser mejor.",2018,10,1
120,Sin reseña,2018,12,1
121,Comodo y cercano a actividades en centro histórico,2018,12,1
122,Un hotel de los mejores en cdmx con mucha elegancia y comodidad.. Muy recomendado x sus actividades cercanas ..,2018,12,1
123,"Hermoso hotel con ubicación inmejorable. El personal muy amable, la comodidad de la habitación excelente.",2018,12,1
124,"Cuenta con todo lo necesario para estar un par de días, ambiente agradable, comodidad y calidez en el espacio y personal.",2018,12,1
125,Sin reseña,2018,11,1
126,Pasamos muy buen hospedaje. Gracias,2018,11,1
127,Sin reseña,2018,11,1
128,Hotel bellísimo.. instalaciones muy bonitas... Muy bien cuidado... me encantó,2018,10,1
129,"Excelente servicio. Desde la recepción, la atención no pudo ser mejor.",2018,10,1
130,"Es una joya el hotel y la gente que labora en el lo sabe y se siente orgulloso de su edificio, de su entorno y de su trabajo... siempre es ideal si tienes trabajo en lugares cercanos",2018,8,1
131,"El personal super amable, atentos, mucha calidad en el servicio, tienen el detalle de darte la bienvenida contandote parte de la historia del recinto mientras subes por el elevador clásico del hotel, otro detalle es el postre de bienvenida, un pequeño detalle pero muy original de poner tu nombre en el plato.",2018,8,1
132,"El edificio está hermoso, situado en pleno centro, una vista increíble y el personal excelente. Súper recomendado",2018,8,1
133,Sin reseña,2018,7,1
134,"No ofrecen las mismas habitaciones que aparecen en la página de Expedia. Cuando me entregaron la habitación que yo rente, no tenía nada que ver en espacio y mobiliario con las fotografías que aparecían en la página con la tarifa que contrate.",2018,7,1
135,Muy bien todo el servicio. Lo recomiendo ampliamente,2018,7,1
136,El hotel yo le daría la categoría de diamante. Es un hotel que compite con los mejores del mundo. Siempre que voy a mexcio me hospedo en él y me hacen sentir como en casa,2018,6,1
137,Se les olvido un servicio solicitado a la habitacion y el area de restaurant a los comensales no se les indica el respetar la privacidad de una mesa a otra para la toma de sus fotos.,2018,6,1
138,todo exelente.,2018,6,1
139,"El hotel como instalación muy bueno pero hubo situaciones por mejorar como : La cortina de la habitación. 214 un poco caída, muy difícil de cerrar. No asearon la bandeja de jabones . Para disfrutar de una copa en la terraza en la noche del sábado nos hicieron esperar como 15 minutos que pq debían alistar mesa cuando estaba la mayoría de las mesas desocupadas. El valor que cobran de servicio de taxi a cualquier parte es el doble del valor normal.",2018,6,1
140,"Te transportas a un Mexico antiguo, estuvimos muy contentos. La única desventaja es que no hay estacionamiento.",2018,5,1
141,Best service! Love the breakfast for $200 pesos. Well worth it!,2018,5,1
142,"Excelente hotel, inmejorable ubicación y la atención del personal muy especial, un 10",2018,5,1
143,"El hotel es increíble!!, el trato x parte de la señorita Gabriela, y los srs. José Luis, Javier y Jorge fabuloso. Estuvieron al pendiente de nosotros desde nuestra llegada hasta nuestra partida, por ejemplo nos recibieron con champán... hay comodidades de servicio en el cuarto. Y al final nos obsequiaron un fabuloso detalle. Como dije siempre atentos hasta el final.",2018,5,1
144,Excelente y muy bello hotel. De los más lindos que he conocido. el personal es súper agradable y atento y te hacen sentir como en casa. El lobby es espectacular con un domo enorme de Tiffany y elevadores antiguos en perfecto funcionamiento. Limpieza excepcional. Habitaciones amplias y bellamente decoradas. Restaurante con una maravillosa vista al zócalo de la ciudad. Y lo mejor es el precio razonable para un hotel de cinco estrellas,2018,5,1
145,"Nice retrò style hotel in the center of historical city of Mexico City. All is old style, but fascinating. The hotel is silent and neat historical places to visit. Breakfast is classic Mexican. This is not a modern design hotel.",2018,5,1
146,Excelente Hotel en el Centro de la Ciudad de México,2018,5,1
147,"En general muy bien, Fernando en la entrada, muy amable, todos. Solo que para pedir el auto, el estacionamiento donde lo dejan esta lejos",2018,5,1
148,Sin reseña,2018,5,1
149,"habitación muy amplia y bien arreglada. Te reciben con una copa de champagne y un detalle en el cuarto. Muy buen servicio. El único detalle es el estacionamiento, está en reparación y hay que dejar el coche con un valet parking que está en una de las calles aledañas.",2018,4,1
150,Es un hotel centrico y muy agradable porpersonal y servivio,2018,4,1
151,"Super buen servicio todo excelente lo único es que tienes que llegar caminando porque es una calle peatonal pero desde que entras todo es lindo, te suben a la habitación por el elevador antiguo que tiene mas de 100 años",2018,4,1
152,"Emblemático hotel cuidan mucho los detalles para conservar la antigüedad , muy atento el personal , excelente ubicación",2018,4,1
153,"Hotel ubicado en el zócalo de Ciudad de México una terraza con una vista espectacular ,el hotel muy lindo las habitaciones grandes muy cómodas es perfecto pAra visitar el centro, Volvería nos gusto mucho",2018,4,1
154,Sin reseña,2018,4,1
155,"Majestuoso, una joya de lugar, increíble vista desde su terraza al Zocalo. Vale la pena!",2018,4,1
156,"EXCELENTE ATENCION DE TODO EL PERSONAL, EN MI SIGUIENTE VISITA A MEXICO ME QUEDARE NUEVAMENTE CON ELLOS",2018,4,1
157,"Beautiful hotel, the architecture is great, the service and attention is outstanding. The view is privilege you can see the ZOCALO and is excellent to visit the downtown mexico. The only recommendation the bed is too soft Ned’s to be more comfortable.",2018,4,1
158,Sin reseña,2018,3,1
159,"Es una pieza histórica el hotel. Pero la jr suite con vista al Zócalo está excelentemente remodelada, con una insonoridad total, gracias a su ventaneria especial moderna, baño, closet,recámara impecables, cama muy cómoda, y la ubicacion es mágica para quien gusta del centro histórico y su crisol de experiencias culturales de todo tipo.",2018,3,1
160,"Un problema llegar en auto, además muy caro el estacionamiento. Destaco la amabilidad de la gente que labora en el hotel. De primera",2018,3,1
161,Un hotel de lo mejor! Con un vista al zócalo inigualable! Con miles de detalles! Es todo un icono para visitar! Me encanto y volveré definitivamente! Tuvieron muchos detalles hacia nosotros!,2018,3,1
162,"Excelente estancia, personal muy amable, recomendable 100% , y por supuesto con la firme idea de volver. Felicidades por mantener esa parte de la historia de mi México.",2018,3,1
163,"Con una vista formidable al zócalo, hay una terraza arriba que esta muy agradable",2018,2,1
164,"El hotel es una joya dentro del centro histórico que vale la pena conocer, la terraza muestra una excelente vista aunque solo ofrecen buffet, no puedes pedir a la carta y la calidad de los alimentos es muy mala, el personal es muy amable. Al ser un inmueble muy antiguo las instalaciones también y puedes escuchar ruidos extraños.",2018,2,1
165,"La encimó fue muy buena, y las peticiones especiales que hice superaron mis expectativas. Muy bien!!!",2018,2,1
166,El Hotel es majestuoso. El servicio del personal muy bueno salvo un pequeño inconveniente al pedir un masaje. Primero se dijo que era 60USD pero se cobraron 80 pues al hacer el cambio en el hotel este salio mucho más caro. La recomendación es cambiar dinero cerca al hotel y no en el hotel. Lo demás estuvo muy bien.,2018,2,1
167,"Una noche de estancia, servicio excelente, su terraza referente para la vista del zócalo , muchos lugares cercanos que visitar en centro histórico, un hotel hermoso en arquitectura , recomendado 100%",2018,2,1
168,"Muy buena, el personal y las instalaciones de primera",2018,2,1
169,"Un hotel con historia y tradición, vale la pena visitar al menos una vez en la vida.",2018,2,1
170,"Un problema llegar en auto, además muy caro el estacionamiento. Destaco la amabilidad de la gente que labora en el hotel. De primera",2018,3,1
171,Un hotel de lo mejor! Con un vista al zócalo inigualable! Con miles de detalles! Es todo un icono para visitar! Me encanto y volveré definitivamente! Tuvieron muchos detalles hacia nosotros!,2018,3,1
172,"Excelente estancia, personal muy amable, recomendable 100% , y por supuesto con la firme idea de volver. Felicidades por mantener esa parte de la historia de mi México.",2018,3,1
173,"Con una vista formidable al zócalo, hay una terraza arriba que esta muy agradable",2018,2,1
174,"El hotel es una joya dentro del centro histórico que vale la pena conocer, la terraza muestra una excelente vista aunque solo ofrecen buffet, no puedes pedir a la carta y la calidad de los alimentos es muy mala, el personal es muy amable. Al ser un inmueble muy antiguo las instalaciones también y puedes escuchar ruidos extraños.",2018,2,1
175,"La encimó fue muy buena, y las peticiones especiales que hice superaron mis expectativas. Muy bien!!!",2018,2,1
176,El Hotel es majestuoso. El servicio del personal muy bueno salvo un pequeño inconveniente al pedir un masaje. Primero se dijo que era 60USD pero se cobraron 80 pues al hacer el cambio en el hotel este salio mucho más caro. La recomendación es cambiar dinero cerca al hotel y no en el hotel. Lo demás estuvo muy bien.,2018,2,1
177,"Una noche de estancia, servicio excelente, su terraza referente para la vista del zócalo , muchos lugares cercanos que visitar en centro histórico, un hotel hermoso en arquitectura , recomendado 100%",2018,2,1
178,"Muy buena, el personal y las instalaciones de primera",2018,2,1
179,"Un hotel con historia y tradición, vale la pena visitar al menos una vez en la vida.",2018,2,1
180,"La visita resultó ser mejor de lo esperado, la atención en el hotel es suprema!, por desgracia a causa del terremoto del pasado día 19 de septiembre no cuentan con estacionamiento y es muy complicado el manejo del equipaje, aunque el personal te ayuda en todo hay que llevar las maletas a la esquina y ahí esperar para poder subirlas al auto ya que la policía impide el acceso a la puerta del hotel, pero no es nada a cambio de la la gran atención recibida",2017,10,1
181,Muy buena atencion... Y el restaurant de la terraza muy bien...,2017,10,1
182,"Atención personal, instalaciones y en general todo altamente satisfactorio.",2017,10,1
183,Está muy bien conservado el hotel es una joya arquitectónica,2017,10,1
184,"La atencion es excelente desde la entrada, botones, camaristas, etc. La terraza del restaurante es de nivel mundial y la vista inmejorable.",2017,10,1
185,"Un hotel fabuloso, ubicado en el corazón del país, con una arquitectura que te lleva al pasado glorioso de la Ciudad de México. El trato de quienes laboran en El Gran Hotel Ciudad de México es excelente, lleno de armonía y de calidez, ¡gracias por brindarnos esta experiencia!. Mis felicitaciones para todos, desde el Bellboy hasta su Gerente General.",2017,10,1
186,"El más bonito de toda la ciudad, Excelente ubicación",2017,9,1
187,"Hotel altamente recomendado, céntrico, cómodo, limpio, histórico, vale lo que pagas por él!!!",2017,9,1
188,"Beautiful place and unbeatable location, if a bit loud.",2017,9,1
189,Segura y muy comoda,2017,9,1
190,"La visita resultó ser mejor de lo esperado, la atención en el hotel es suprema!, por desgracia a causa del terremoto del pasado día 19 de septiembre no cuentan con estacionamiento y es muy complicado el manejo del equipaje, aunque el personal te ayuda en todo hay que llevar las maletas a la esquina y ahí esperar para poder subirlas al auto ya que la policía impide el acceso a la puerta del hotel, pero no es nada a cambio de la la gran atención recibida",2017,10,1
191,Muy buena atencion... Y el restaurant de la terraza muy bien...,2017,10,1
192,"Atención personal, instalaciones y en general todo altamente satisfactorio.",2017,10,1
193,Está muy bien conservado el hotel es una joya arquitectónica,2017,10,1
194,"La atencion es excelente desde la entrada, botones, camaristas, etc. La terraza del restaurante es de nivel mundial y la vista inmejorable.",2017,10,1
195,"Un hotel fabuloso, ubicado en el corazón del país, con una arquitectura que te lleva al pasado glorioso de la Ciudad de México. El trato de quienes laboran en El Gran Hotel Ciudad de México es excelente, lleno de armonía y de calidez, ¡gracias por brindarnos esta experiencia!. Mis felicitaciones para todos, desde el Bellboy hasta su Gerente General.",2017,10,1
196,"El más bonito de toda la ciudad, Excelente ubicación",2017,9,1
197,"Hotel altamente recomendado, céntrico, cómodo, limpio, histórico, vale lo que pagas por él!!!",2017,9,1
198,"Beautiful place and unbeatable location, if a bit loud.",2017,9,1
199,Segura y muy comoda,2017,9,1
200,Great hotel. Walkimg distance from a lot of good stuff. Only little thing was the AC could be better as the rooms were a little warm.,2021,5,1
201,Great service! Everyone was nice and the hotel was super clean and pretty. Will definitely be staying here again!,2021,5,1
202,Great place to stay. Very safe and clean and it’s in a perfect area. The rooftop restaurant has an amazing view.,2021,4,1
203,Entire staff was excellent!!,2021,4,1
204,The hotel is beautiful. I Will visit again.,2021,4,1
205,Sin reseña,2021,4,1
206,Sin reseña,2021,4,1
207,Beautiful hotel located in central Mexico City. Location is superb. Kept immaculate. Really I’m was large with huge windows that opened like doors. Staff was excellent and extremely helpful. I’d stay here again over and over in the same room.,2021,4,1
208,"Amazing Architecture, Fantastic service, they made us feel at home.",2021,4,1
209,"Staff were excellent, as was the room.",2021,4,1
210,Best view ever 😍,2021,4,1
211,Everything was amazing.,2021,4,1
212,Sin reseña,2021,4,1
213,It’s a wonderful experience! It’s like a time travel back to the beginning of 19 hundred century! Especial thanks for Celia and Jose Luis! A really especial time! Food is amazing!,2021,4,1
214,"I lived the g Hotel architecture and stained glass roof. The, still working antique elevators are unique. The friendly staff and the welcome champagne were selling points.good food service, and the closeness to the historical zocalo.",2021,4,1
215,Excellent hotel au vrai centre de ville de Mexique - les petits déjeuners sur la terrace avec le levé du soleil et les soldats en montant le drapeau - accompagné par la nourriture et ambiance magnifique,2021,4,1
216,"Excellent location! I love this hotel, i have stayed before on multiple times and it never fails to amaze us. The staff is friendly and always greets us with respect.",2021,4,1
217,"Precioso hotel historico, aparte de la ubicacion unica (la vista desde la terraza es maravillosa), el hotel en si, es una joya, cada detalle es para apreciarse. El servicio del personal ni se diga, todos super atentos y enfocados en la comodidad y satisfaccion del huesped.",2021,4,1
218,Lovely place to stay. Close to everything. Enjoyed a great view and food from the restaurant on the rooftop.,2021,4,1
219,Sin reseña,2021,4,1
220,Best view ever 😍,2021,4,1
221,Everything was amazing.,2021,4,1
222,Sin reseña,2021,4,1
223,It’s a wonderful experience! It’s like a time travel back to the beginning of 19 hundred century! Especial thanks for Celia and Jose Luis! A really especial time! Food is amazing!,2021,4,1
224,"I lived the g Hotel architecture and stained glass roof. The, still working antique elevators are unique. The friendly staff and the welcome champagne were selling points.good food service, and the closeness to the historical zocalo.",2021,4,1
225,Excellent hotel au vrai centre de ville de Mexique - les petits déjeuners sur la terrace avec le levé du soleil et les soldats en montant le drapeau - accompagné par la nourriture et ambiance magnifique,2021,4,1
226,"Excellent location! I love this hotel, i have stayed before on multiple times and it never fails to amaze us. The staff is friendly and always greets us with respect.",2021,4,1
227,"Precioso hotel historico, aparte de la ubicacion unica (la vista desde la terraza es maravillosa), el hotel en si, es una joya, cada detalle es para apreciarse. El servicio del personal ni se diga, todos super atentos y enfocados en la comodidad y satisfaccion del huesped.",2021,4,1
228,Lovely place to stay. Close to everything. Enjoyed a great view and food from the restaurant on the rooftop.,2021,4,1
229,Sin reseña,2021,4,1
230,"Wonderful hotel in the heart of Mexico City. Within walking distance to local shops, artisans and great restaurants. Security throughout the area was great and one could p[pleasantly walk about during the night without being afraid of any consequences.",2021,3,1
231,Sin reseña,2021,3,1
232,"We love everything, every single corner, service was amazing, the staff is super well trained, super clean and quiet, it was the best hotel experience ever, classy, stylish, food was very tasty and the presentation was on point!!! I will be back! Thank you!!!!",2021,3,1
233,Sin reseña,2021,3,1
234,"location, location, location, right in Zocalo, close to everything. beautiful old building with glass ceiling",2021,3,1
235,"This is a beautiful, beautiful property - the equivalent of spending a night in a museum. Being able to walk the corridors and use the facilities is an extraordinary experience. To top it off, the staff is attentive, caring and incredibly helpful, going over and beyond to help. Truly, one of my favourite places in the world.",2021,3,1
236,Beautiful hotel. The rooms are amazing as to cleanliness and spaciousness. Extremely friendly snd helpfull staff.,2021,3,1
237,Sin reseña,2021,3,1
238,Sin reseña,2021,3,1
239,The hotel is beautiful but the rooms are out dated.,2021,2,0
240,"Wonderful hotel in the heart of Mexico City. Within walking distance to local shops, artisans and great restaurants. Security throughout the area was great and one could p[pleasantly walk about during the night without being afraid of any consequences.",2021,3,1
241,Sin reseña,2021,3,1
242,"We love everything, every single corner, service was amazing, the staff is super well trained, super clean and quiet, it was the best hotel experience ever, classy, stylish, food was very tasty and the presentation was on point!!! I will be back! Thank you!!!!",2021,3,1
243,Sin reseña,2021,3,1
244,"location, location, location, right in Zocalo, close to everything. beautiful old building with glass ceiling",2021,3,1
245,"This is a beautiful, beautiful property - the equivalent of spending a night in a museum. Being able to walk the corridors and use the facilities is an extraordinary experience. To top it off, the staff is attentive, caring and incredibly helpful, going over and beyond to help. Truly, one of my favourite places in the world.",2021,3,1
246,Beautiful hotel. The rooms are amazing as to cleanliness and spaciousness. Extremely friendly snd helpfull staff.,2021,3,1
247,Sin reseña,2021,3,1
248,Sin reseña,2021,3,1
249,The hotel is beautiful but the rooms are out dated.,2021,2,0
250,Sin reseña,2020,12,1
251,Sin reseña,2020,12,1
252,Sin reseña,2020,12,1
253,"Very quiet, courteous staff, wonderful lobby, huge room (suite). Could have been darker",2020,12,1
254,"AMAZING!!! Love, love, love this hotel! The service is impeccable, the hotel itself is a beautiful piece of history!",2020,12,1
255,Sin reseña,2020,12,1
256,This hotel is a dream. Location is the best and has a awesome view of the square. The staff is the best. I’m more that happy with this hotel.,2020,12,1
257,Sin reseña,2020,12,1
258,El mejor hotel en la ciudad de Mexico. El personal te hace sentir Como en Casa,2020,12,1
259,Sin reseña,2020,12,1
260,"Beautiful Hotel, the personnel is very nice and polite. Is right in the Zocalo area with awesome views and where you can take the tour bus, taxi, etc.",2020,12,1
261,Great location! Awesome view.,2020,11,1
262,El estacionamiento es externo pero recomendado por el hotel pero no me sentí cómodo con el servicio,2020,11,1
263,The attention of all the personnel is very good and the the hotel is extremely beautifull. Location unsurpass.,2020,11,1
264,The friendly staff and service Old world.atmosphere especially the Tiffany glass ceiling 4th largest in the world Highly recommended,2020,11,1
265,Sin reseña,2020,11,1
266,"It was amazing, I love it",2020,11,1
267,"It was amazing very beautiful! Best service , best food , i got sick and they prepared special food only for me twice !!! Very clean , view to Zocalo was a great experience ! All the stars ⭐️ ⭐️⭐️⭐️⭐️",2020,11,1
268,"Staff was great, perfect location, good food, an overalls great stay. Will definitely be staying here again.",2020,11,1
269,Excelent amenities and location. Beautiful place.,2020,11,1
270,the service was great.,2020,10,1
271,Sin reseña,2020,10,1
272,Everything was amazing! Highly recommended.,2020,10,1
273,"The architectural design is fantastic, the whole city is awesome",2020,10,1
274,Love the place 💕 employees were so helpful and nice and the history is amazing,2020,10,1
