calificacion,fecha,nombre,opinion
ui_bubble_rating bubble_50, junio de 2019,LAO07,"La ubicación es extraordinaria, en la Plaza de la Constitución (el Zócalo) justo al lado de la catedral.  La habitación y el baño de la habitación que reservamos eran pequeños aunque bastante completos.  El desayuno se toma en la terraza del hotel con unas vistas magníficas a la catedral, al palacio nacional y al conjunto de la plaza del Zócalo.  Ofrece parking gratis.  Aunque no lo probamos, nos dijeron que las consumiciones en la cafetería eran gratis salvo las bebidas alcohólicas."
ui_bubble_rating bubble_50, septiembre de 2019,jocorqui,"Un lugar muy agradable, con una vista muy espectacular porque tiene a la Catedral enfrente,  viendo su perfil hermoso. Y una vista panorámica de la plancha del Zócalo capitalino, disfrutando para empezar de un rico café y pan dulce; luego unos chilaquiles con carne asada deliciosos. Muy recomendable hacer su reservación con anticipación porque es un lugar muy visitado."
ui_bubble_rating bubble_50, octubre de 2019,HectorOaks,"Hola Viajeros!, como siempre sere breve a continuacion les hago saber mis perspectivas de nuestro hospedaje: 1. Desayuno incluido, buen sabor...recomiendo pedir a la carta; ya que el alimento en buffet esta un poco frio, la cena para mi gusto un tanto cara, aun que se vee que es sabrosa,  2. Les recomiendo visitar a un costado de recepcion la cafeteria la cual tiene algunos snacks desde panninis, papitas, frapes, pastelitos, etc....muy amable la chica que nos atendio 3.la habitacion a mi gusto un poco chica pero super bien amueblada, el colchon era kingsize, a mi ver un poco gastado el colchon pero en general bien, buena limpieza 4. Los chicos/ chicas de recepcion bien amables 5. Los precios de las habitaciones son un tanto razonables ( aprox 3800 x noche ) tomando en cuenta que,…"
ui_bubble_rating bubble_40, septiembre de 2019,Mauricio C,"Viaje con mi familia a Ciudad de México una visita rápida y de turismo donde nos quedamos una noche en este hotel y separamos dos habitaciones, al llegar al Check in nos dieron dos habitaciones en pisos diferentes les pido si pueden estar en un solo piso indican que no tienen disponibilidad, cuando llegamos a las habitaciones tocan la puerta para preguntar cómo estaba todo, cabe mencionar que cuando fuimos a las dos habitaciones las llaves no abrían la puerta y pudimos entrar ya que Housekeeping nos abrió la puerta muy amablemente, cuando le informamos que no funcionan las llaves mandar a cambiarlas pero nos indican que si pudieron encontrar habitaciones por los que nos emocionamos de poder estar una al lado cuando preguntamos nos indican que ya habían ocupado las habitaciones y,…"
ui_bubble_rating bubble_50, septiembre de 2019,margarita,"Fueron 5 días de un servicio super excelentisimo. Las habitaciones muy limpias, Isabel, la chica que nos limpiaba el cuarto, super amable y atenta con nosotros, un lugar centrico que te puede llevar donde quieras. El restaurante, la mejor vista del Zocalo, la atención muy bueno, los chicos super amables y atentos y muy educados, los chilaquiles verdes deliciosos, en general la comida de primera. Te mantienen informado, si necesitas algo, siempre estan atentos contigo, en fin, nos vamos muy contenta de México. No solo por el hotel que es de primera, sino porque nos llevamos las mejores experiencias. Soy campechana y mi marido Joost holandes."
ui_bubble_rating bubble_10, septiembre de 2019,daniela hernandez,"Tuve una pésima atencion por parte del personal de recepción del hotel, ya que me tuvieron esperando 2 horas para entregarme mi habitación, llegue al hotel cerca de las 2 pm y el check in era a las 3,me comentaron que no estaba aun la habitación pero que a las 3 ya estaría lista.Realice esta reservación por callcenter y sus beneficios por reservar directo es que podemos hacer checkin temprano y el checkout tardío,a todo esto,estoy en espera de mi habitación dando las 3 de la tarde cuando ya debería estar lista la habitación y pregunto a la chica de recepción y me dice que tardaran mas, que hasta las 4 me la iban a entregar, y estamos hablando que reserve una habitación suite con vista al zocalo y que la habitación ya estaba pagada,y que ni siquiera me entregaron mi voucher al,…"
ui_bubble_rating bubble_50, noviembre de 2019,Monse66,"El hotel esta super bien ubicado, las habitaciones son hermosas, el restaurante en el 6° piso tiene una vista impresionante, el desayuno es delicioso y el staff es maravilloso!!! Estamos muy agradecidos con todos!!! En especial con las chicas del counter, son divinas!!!! Seguro volveremos! Felicitaciones!!!!"
ui_bubble_rating bubble_20, mayo de 2019,MA C,"El fin de semana tenían buffet. la comida muy mala, sin sabor, mucha cantidad pero sin calidad. no vale la pena. Precio x calidad cero. La atención es mala. al entrar en el lobby del hotel casi no me dejan entrar, mal trato, creo que por racismo. "
ui_bubble_rating bubble_50, noviembre de 2018,ViajeraMexi-Can77,"La atenciòn es excelente desde recepcion y bell boys, ayudandome en todas mis dudas y acompañandome en todo momento Excelente ubicaciòn, ideal para familias, el desayuno muy bueno, en conjunto una buena experiencia"
ui_bubble_rating bubble_50, julio de 2019,Anahí L,"Estructura edilicia, amenities , ubicación, vistas...Espléndido ! Competencia profesional. La cocina de su restaurante Balcón del zócalo expone la producción continua de alimentos: “impecable”, y el bar ofrece bocados y bebidas incluidas en el precio del alojamiento y se convierte en un oasis a la vuelta del recorrido diario por la bella Ciudad de México! Muy recomendable! "
ui_bubble_rating bubble_50, octubre de 2019,Paula Young,"La experiencia en Zócalo Central fue fabulosa y merece ser compartida. Excelente atención. Impecables instalaciones. Buena comida. Preocupación por los detalles (gracias Isabel Velázquez, hasta nos dejaba tarjetas con el pronóstico del clima para el día siguiente) y facilidad en todos los procesos: check in/out, consultas, indicaciones. Para nosotros se volvió un hotel para ser recomendado siempre y, evidentemente, reserva segura si volvemos a Ciudad de México. Felicitaciones. Un hotel dedicado a la atención personalizada y cálida."
ui_bubble_rating bubble_40, enero de 2020,martha18,"El personal muy amable cuanto limpio excelente servicio, solamente una queja... los meseros de la cafeteria los sentimos un poco descriminatorios hacia nuestra apariencia   (mexicana aunque somos USA citizens), ellos se desviven por atender a los de apariencia americana"
ui_bubble_rating bubble_50, enero de 2020,Paolavegar,"El hotel es maravilloso. La ubicación excelente, prácticamente a la par del Zócalo, perfecto para moverse a cualquier parte de la ciudad. Las habitaciones hermosas y la limpieza exc. El trato del personal es espectacular y el hotel cuenta con amenidades sumamente buenas como un café 24/7 donde se puede comer gratis ensaladas, sándwiches deliciosos, café, bebidas. Siempre hay agua y manzanas gratis en las habitaciones. El restaurante es delicioso y tiene la mejor vista al centro histórico. Recomendado 100% "
ui_bubble_rating bubble_10, diciembre de 2019,Hector Esteban R,En el checkout cobran más de lo inicial.ademas no entregan factura con el IVA que uno paga. De nada sirve tener un servicio aceptable si al momento de facturar todo esta mal. Solo dan recibos y nunca una factura.
ui_bubble_rating bubble_50, diciembre de 2019,JMPalacios,"Estuvimos por segunda vez en Zócalo Central, y de nuevo, nuestras expectativas fueron excedidas, desde Las atenciones y seguimiento de Eduardo, la gente de recepción, el Café central y las personas de la puerta, excelentes! La persona que nos apoyo con el equipaje en la salida, amable, y súper servicial. Al finalizar, ya para tomar la ruta al aeropuerto, la amabilidad y espíritu de servicio de Oswaldo, el piloto del taxi (que por lo que sé, también es parte del hotel), realmente bueno. Felicitaciones por mantener ese alto nivel de servicio, con seguridad volveremos de nuevo!!"
ui_bubble_rating bubble_40, diciembre de 2019,Fernando C,Bonito lugar para poder visitar. Se rodea de lindos edificios antiguos que enriquecen la vista y la visita.  Realizan muchos eventos acá lo que dificulta poder apreciar por completo el lugar.  Es de fácil acceso y es muy emblemático. 
ui_bubble_rating bubble_50,,rgon,"Nos alojamos dos noches en este hotel. La ubicación era estupenda, ya que es sólo un paseo corto a las atracciones principales de la zona del centro de la ciudad. El hotel en sí era precioso y estaba impecable. Nuestra habitación era un poco pequeña, pero estaba muy bien. El restaurante era bueno, y la zona comer fuera era muy agradable durante el día. Por la noche, que era un poco demasiado fría a comer fuera. El personal acaba de hotel era muy complaciente y servicial. Nos dieron con todo tipo de información, de la seguridad de entretenimiento, lo hizo todo y de nuestra organización que necesitábamos. El precio era muy razonable para la calidad. Lo recomiendo encarecidamente este hotel! "
ui_bubble_rating bubble_40, mayo de 2006,ridgeley,"Este es mi segunda vez alojarme aquí. Estuve ahí en mayo de 2005, también, aunque estuvieran remodelando.  El hotel parece mucho más agradable después de la remodelación, además, ahora tienen internet inalámbrica en la habitación, lo que es muy práctico. También tienen un pequeño centro de negocios donde puedes usar su conexión a internet de alta velocidad de semi-por 30 minutos por día, además imprimir si quieres.  La habitación estaba limpia, la caja fuerte funcionaba, había agua caliente abundante y los baños siempre tiraba. Si tienes una habitación en el lado de la calle, y te dan un poco de ruido de la calle, pero es tranquilo para las 8:00 o 9:00. El año pasado, en una habitación interior, y encontramos el ruido de la gente eco en el conducto de ser mucho más molesto.,…"
ui_bubble_rating bubble_40,,yvr1,"  Me alojé recientemente en el Holiday Inn de Zócalo, situado en la zona histórica de la ciudad. Está ubicado justo en la plaza histórica, a dos manzanas del metro y cerca de muchos restaurantes por los alrededores y las tiendas y. Las habitaciones, al menos la que tuve era pequeño y compacto, una TV agradable, cama grande, ducha en el baño. La habitación está impecable, extremadamente limpio, y bien cuidado. Mi habitación daba a la calle, de 5 Cinco de Mayo. El vestíbulo era agradable, con un pequeño bar, y servicio de Internet, gratis, limitado a 30 minutos al día, después de eso, está a 50 pesos, puedes encontrar sitios mucho más baratas de Internet en toda la ciudad. El personal era amable. Dos manzanas la calle en 5 Cinco de Mayo y en el mismo lado de la calle, era un gran,…"
ui_bubble_rating bubble_50, mayo de 2006,Traveler10315,"Nos alojamos por tres noches y me gustaría quedado más tiempo! La ubicación es impresionante, y nos encantó ver fuera y ver el lado histórico de la ciudad! El hotel está en excelentes condiciones, y muy bonito. El baño es muy confortable y la habitación en gran forma y súper limpio. La zona no es peligrosa y que era una maravilla para caminar. Yo definitivamente me quedaría aquí cada vez que volver. El buffet de desayuno era delicioso y la terraza de la azotea era genial tener vistas a bautiful de Ciudad de México. El servicio era excepcional. ¡Todo el mundo era muy amable en todo momento del día. "
ui_bubble_rating bubble_40, abril de 2005,Patricia_Wells,"  Un hotel estupendo, limpio y una gran terraza en la azotea con un restaurante bastante decente. Está cerca de todo en el centro Historica distrito. Bien para pillar un autobús turístico y una entrada para metro en frente de la Catedral. El personal es muy servicial. Y las habitaciones son en realidad bastante grande y era espaciosa para ser un hotel no- USA, nos pasaron a una suite Junoir   Me alojaría aquí de nuevo.    "
ui_bubble_rating bubble_20, diciembre de 2007,texmacge,"El Holiday Inn de Zócalo está situado en el centro histórico de Ciudad de México cruzando la calle de la plaza (Zócalo) y la catedral nacional. Es un fantástico lugar para visitar las ruinas Aztec (Templo mayor) y el Govenor es Palace (Reviera Diego de murales). Hay muchas tiendas y restaurantes a una corta distancia a pie.  El personal del hotel es muy amable y servicial y nuestra habitación estaba muy limpia y cómoda. El restaurante de la azotea ofrece unas fantásticas vistas de la Zócalo y la ciudad.  Hay unas cuantas cosas que uno debería considerar si elige este hotel.  Primero, si tienes una habitación cerca del Zócalo. la Aztecs será anoy, con sus muy ruidoso fuerte hasta las 10:00 o las 11:00h. El drum es tan alto que lo que no sólo oíamos, pero cree que también. Llevé a,…"
ui_bubble_rating bubble_40, noviembre de 2007,KenTom,"Sólo pasé 5 noches en el Holiday Inn de Zócalo y no tengo quejas. Reservamos una ""Junior  Suite"", que es una habitación más grande con una ventana en el Zócalo. Lo único malo es que Conchero de los bailarines en el Zócalo a toda la noche de los sábados. Nos encontramos a encendíamos el aire acondicionado o de calor, creado un ""ruido blanco"" que ayudaba a bloquear el sin parar fuerte. Hotel tiene internet sin cables gratis, así que si viajas con portátil con es una característica estupenda. Desktops disponibles para uso de los huéspedes en el vestíbulo. El personal era genial. El desayuno en la terraza es muy bonita, pero un poco caro. Hotel Majestic hace lo mismo al igual que el Gran Hotel. Para un desayuno mexicano real más barato ve a cinco de mayo a Casa de los Ángeles,…"
ui_bubble_rating bubble_40, febrero de 2007,Arequipa,"Nos alojamos felices en el Holiday Inn de Zócalo para cuatro noches entre las excursiones de Guatemala y México. Nos quedamos muy contentos con la ubicación al lado de la plaza principal (Palacio Nacional, Diego Rivera murales, la catedral, Templo mayor y museo) y muchos buenos restaurantes. Tenía la sexta planta parcialmente cubierta restaurante (la parte había tenido sombrillas) de la azotea, que daba a la plaza y tenía muy bonitas vistas. Comimos el desayuno sólo allí, pero era delicioso y con una gran variedad de platos mexicanos y americanos, bien fruta, cereales, yogur y huevos cocinados a la orden.  Hay dos paradas de metro cerca, así que es fácil acceso para el resto de la ciudad.  Las habitaciones estaban en la pequeña, lados, pero estaba impecablemente limpio y,…"
ui_bubble_rating bubble_40, enero de 2007,Chompie,"Gran ubicación, bonito hotel. El restaurante en el tejado con vistas a la Zócalo es maravilloso con bastante buena comida. El desayuno es muy bueno. "
ui_bubble_rating bubble_40, junio de 2006,Scottsicle,"  Para aquellos de vacaciones a Ciudad de México, no puedes conseguir algo mejor que este hotel encantador. Su ubicación es perfecta, con vistas de una hermosa catedral, el palacio nacional, las ruinas de las pirámides culturas aztecas, y una de las plazas más grandes en el mundo. Los puntos más históricos y culturales están a tiro de piedra de los que podíamos posiblemente ver en nuestra estancia de cinco días. Llegamos en la noche, y cenamos en la terraza en el restaurante del hotel, daba sobre el centro histórico y las libre se ilumina con las luces de la ciudad. Una vista impresionante para cualquier estándar. En junio de última hora es en la temporada de lluvias, el aire acondicionado estaba bastante limpia. El buffet de desayuno del hotel es abundante y delicioso, y los,…"
ui_bubble_rating bubble_20, diciembre de 2008,stickerj,  Un lugar excelente para alojarse si estás un monje. Nuestra habitación era minúscula y estaban desnudas. Cuando nos acabaron de agua mineral gratis que tuve que ir a la recepción. La habitación estaba impecable pero el precio es alto cuando comparado con hotel Catedral o Gillow. Nos fuimos después de la primera noche.  
ui_bubble_rating bubble_40, diciembre de 2008,jfpTexas,"Nos quedamos allí para 2 noches justo antes de Navidad y que fue muy concurrida. El personal era muy cortés, servicial y simpático. El servicio de internet era genial. Me volvería a ser dispuesto a alojar allí de nuevo pero no en temporada navideña. Nos encantó el desayuno en la terraza..."
ui_bubble_rating bubble_50, julio de 2008,g0g,"  Este lugar es perfecto para turistas que quieran explorar la ciudad. Sin duda merece la pena pagar ese poquito más por una de las habitaciones con vistas a la plaza, puedes ver la playa ondeaba yendo hacia arriba y hacia abajo (incluido ceremonia y el ejército) cada día. El desayuno en la terraza es un comienzo estupendo para el día. La comida es buena y si tienes un asiento en el borde de la terraza hay los colibríes (yo creo) en un vuelo! La terraza es un lugar genial para la cena! El personal del hotel (especialmente José Luis) fueron servicial organizando excursiones (aseguraos de visitar las pirámides) y ofrecían recomendaciones. Nos sentimos muy seguros en las calles cercanas en la noche y había policía en cada esquina.  "
ui_bubble_rating bubble_40, agosto de 2007,LifeofLeisure,"Disfruté de mi estancia en el Holiday Inn de Zócalo. No es el hotel gastarme en Ciudad de México, pero está limpio y tiene una terraza increíble restaurante de la azotea con vistas a Zócalo Plaza. Hay restaurantes estupendos a una corta distancia a pie (Opera, y el café Tacuba) . También se puede ir a pie es el Palacio Nacional (con murales de Diego Rivera) y el Palacio de Bellas Artes. Hay internet gratis en los ordenadores en el vestíbulo y sin cables en las habitaciones. Desventajas: (1) muchos de los miembros del personal de la limpieza no hablan inglés bien, que puede ser molesto si tienes que no hablan español, (2) el servicio en el restaurante no es coherente -- a veces es realmente genial y, entonces los demás lento con errores en el orden, (3) en ocasiones, el servicio,…"
ui_bubble_rating bubble_40, abril de 2008,Hemster7,"  Nos alojamos aquí por una semana durante 28AOR08 a 3MAY08.   En general, este hotel es de una muy buena relación calidad-precio. La ubicación es inmejorable ya que puedes ir andando a todas partes en 10 minutos.     Durante mi estancia el bar del vestíbulo estaba de reformas y el bar del restaurante no tenía ambiente. La comida está bien, no excelente pero sólo promedio. servicio está por debajo de la media. Dicho esto, no hay que alojarse en el hotel para las comidas como hay unos restaurantes excelentes en la vecindad. Lo recomiendo altamente el famoso café Tacuba bien, así como la El vegetariano excelente en Filomeno Mata (a unos 5 minutos a pie).     A una corta distancia a pie son los antiguos templos (Templo Mayor) así como varias catedrales antiguas. La vieja ciudad,…"
ui_bubble_rating bubble_10, noviembre de 2010,bajapi,"Este hotel es probablemente el peor Holiday Inn en el que me alojé en. Yo soy un Holiday Inn miembro de categoría ""platinum"" y he estado aquí antes, pero esta vez que tuve que debido a la ubicación de poder ir andando a mis reuniones. La habitación que me dieron era no más grande que mi a pie en un armario en casa. Yo soy 6"" alto y mis pies estaban colgando sobre la cama. El restaurante está en el tejado con una vista hermosa del Zocolo pero la comida era horrible y los precios eran una barbaridad! Incluso el personal de servicio en el restaurante recepción se comportaba como si te estuvieran haciendo un favor solo el hecho de estar en su restaurante. No te alojes aquí!"
ui_bubble_rating bubble_30, octubre de 2010,giji365,"El hotel está situado en Zócalo, el corazón de la cultura en México. Me fue la suerte de estar allí en un domingo, y ya que podía ver un montón de las tribus que venden su cosas en la plaza cerca de la iglesia. El hotel tiene una relación calidad-precio, con habitaciones pequeñas pero bien amuebladas. El aire acondicionado estaba muy potente. Las opciones de desayuno era también bueno. Fue lo suficientemente afortunada de conseguir algo personal de recepción que podía comunicarse en inglés. La mejor parte de la estancia fue la conexión banda ancha gratis, a una velocidad increíble."
ui_bubble_rating bubble_50, septiembre de 2009,BrooklynJarhead,"Las habitaciones no son grandes, pero el lugar estaba impecable, las camas agradables, un baño bonito, pressur del agua buena, el sitio está limpio, limpio, limpio, servicio de rápido, personal muy servicial, buen desayuno, gran vista desde la terraza del palacio y el servicio militar en alrededor de 8 am, me alojaría aquí de nuevo, el precio era perfecta y se lo recomendaría a todo el mundo en un  de presupuesto"
ui_bubble_rating bubble_40, septiembre de 2009,paulofrann,"Muy bueno, limpio, y me encantó el desayuno daba a la iglesia. Muy cerca de parte de la ciudad."
ui_bubble_rating bubble_30, diciembre de 2008,ross11ross,"  Me alojé en este hotel con mi novio para 3 días a finales de diciembre. La habitación estaba limpia, pero un poco demasiado pequeña. La ubicación y las vistas desde el balcón son fantásticas. El personal no era muy amable y ¡era imposible para cambiar dinero. Pero por 3 días, es bueno.  "
ui_bubble_rating bubble_20,,worldtravs,"  Nos alojamos en el Holiday Inn en 2005 marzo. Las habitaciones eran las más pequeñas que he encontrado en un hotel. Por lo demás, la ubicación era estupenda, si un poco ruidoso a veces, y el desayuno en el restaurante de la azotea más agradables.    "
ui_bubble_rating bubble_40, enero de 2005,elgarbo,"Nos alojamos en el Holiday Inn tres noches en enero y nos encantó nuestra estancia allí. El personal atento, nos ayudó con cualquier problema que nos encontramos a lo largo del camino. A pesar del registro temprano por la tarde en el tiempo. Nos llevaron a nuestra habitación inmediatamente después de llegar desde el aeropuerto a las 8 de la mañana.  El restaurante en el tejado era espectacular tanto para las vistas y la comida, el bar de abajo era muy práctico. El bar de abajo venía muy bien y el internet en el lobby extremadamente conveniente. A pesar de ser una hora media gratis de juicio' de la Internet, nos acostumbramos, una gran oferta más y nunca nos cobrarían la privelege.  Las habitaciones eran cómodas, aunque las camas eran un poco duras. Sin duda nada merece la pena,…"
ui_bubble_rating bubble_30,,nsmHouston,"Me alojé sólo una noche para estar cerca de la zócolo. Estaba mejor que bien. El interior es nuevo y limpio pero posiblemente la más pequeña que he visto en mi vida. Las ventanas en algunas habitaciones abierto a patios interior que son realmente de vidrio tragaluz. La mejor parte del restaurante en el tejado era la vista, pero el buffet de desayuno estaba incluido en el precio de la habitación de fin de semana. El personal era servicial y la mayoría hablaba un poco de inglés. "
ui_bubble_rating bubble_40,,GoPlaces35074,"Éste es un gran hotel moderno asequible en el corazón del centro histórico de Ciudad de México. La ubicación es perfecta, que está a una corta distancia a pie de muchos lugares turísticos, restaurantes, un gran panadería y los estaciones de metro. Las habitaciones son bastante cómodas pero un poco pequeña. El personal es muy amable y dispuesto a ayudar. El internet gratis disponible en el vestíbulo es una ventaja. El restaurante de la azotea es una maravillosa terraza desde que una maravillosa vista de la Zócalo puede ser disfrutada. El único comentario negativo que tengo de este hotel es que muy raramente en moneda mexicana disponible en su barra de cambio de divisas cheques travellers suficiente. Aparte de que nuestra estancia allí fue muy agradable."
ui_bubble_rating bubble_40,,Inspire11182,"El Holiday Inn de Zócalo es un excelente lugar para alojarse para visitantes en primer lugar de tiempo que quieran una experiencia los aspectos culturales y histórico de Ciudad de México. El hotel está ubicado céntrico y tiene una excelente vista del Zócalo. El personal es muy cortés y servicial. El conserje, el Sr. Olmos, y su personal eran extremadamente serviciales. Las habitaciones están bien cuidado y limpio. Me volvería a alojar en este hotel de nuevo la próxima vez que visito Ciudad de México."
ui_bubble_rating bubble_50, mayo de 2019,José F,"La ubicación del hotel es excelente en una esquina del Zócalo, cerca a la catedral, la presidencia etc, el servicio es muy bueno, las habitaciones son pequeñas igual que el baño, tiene una terraza con vista al Zócalo, con un restaurante pub, muy lindo, ahi desayunas, y pasas unos atardeceres maravillosos."
ui_bubble_rating bubble_50, mayo de 2019,Daría,"Mi descanso fue muy agradable, gracias a la amabilidad del personal  y comodidad que brinda el hotel. Me gusto mucho la fruta y el agua que brindaron en abundancia,asi como la vista hermosa del zócalo y el delicioso desayuno que ofrecen . Fue tan agradable hospedarme que pronto volveré a visitarlos."
ui_bubble_rating bubble_50, noviembre de 2018,Héctor N,"La terraza del restaurante con vista al zócalo y la catedral, de lo mejor. El viaje fue con mi esposa y la pasamos muy bien, además tienen servicio de tours, nosotros tomamos un vuelo en globo en Teotihuacán que nos recomendaron ahí en el hotel y la verdad muy bien."
ui_bubble_rating bubble_40, abril de 2019,Esteli,"Un lugar con excelente vista al Zócalo de la CDMX, bonita decoración, agradable en ambiente, platillos ricos y en porciones Gourmet, de alto costo.... atención muy buena, limpieza en toda sus áreas, creo vale la pena costo por el resto de atracción y atención del lugar"
ui_bubble_rating bubble_50, abril de 2019,Dinsincielo,"El servicio desde que llegas es impecable, tienen atenciones en cada detalle, siempre amables y con una bonita actitud, todo es muy limpio, me parece un excelente hotel, lo vale completamente. En cada piso te ofrecen aguas y manzanas, la cafeteria es 24 hrs y gratuito (con excepción del alcohol)."
ui_bubble_rating bubble_50, junio de 2019,SuLorenzo,"Mi esposo y yo nos fuimos de turismo. Ciudad de México y decidimos quedarnos en el centro opuestamente a todas las sugerencias de amigos, para sorpresa de nosotros el centro resultó ser el lugar más céntrico para todo lo que queríamos conocer y más seguro a la vez, el hotel  está literalmente en una esquina del zócalo y está inmaculadamente cuidado en todos los aspectos, decoración, servicio, extras etc,  la verdad no pudimos escoger mejor y mira que yo soy difícil de complacer.         El restaurant del 6 piso, llamado Balcón del Zócalo es una delicia y la vista es inmejorable. Recomiendo este hotel a todos los que estén pensando visitar CDMX"
ui_bubble_rating bubble_50, junio de 2019,Carola Castillo,"Que belleza de hotel, tiene tantos servicios extras. La cafetería, el agua. Su ubicación es inmejorable. La limpieza, orden es cinco estrellas. Su personal a todo nivel es adorable. Altamente recomendable... "
ui_bubble_rating bubble_40, junio de 2019,Luciano M,"Buen hotel, con buena atención, en pleno centro de la cuidad.  Se destaca lo lindo que es, prácticamente como un hotel boutique.  Buen servicio de bar todo incluido, ricas cosas para picar fuera del horario de la cena.  Venden muy lindas cosas decorativas en el mismo lobby.  Recomendable. "
ui_bubble_rating bubble_50, mayo de 2019,davidsantanatbo,"Teniamos 5 horas de espera en el aeropuerto de ciudad de México y decidimos tomar un Uber, e ir a conocer el zocalo,sumamente facil contactar a Uber,y muy barato,en algo mas de media hora llegamos, el zócalo impresiona apenas llegamos,es enorme, y rodeado de todos los edificios de las epocas coloniales, muchos gubernamentales, Iglesias y ruinas, todo muy cuidad, limpio y sorprendentemente seguro, nos habian advertido éste tema, pero ha cambiado mucho, nos deja la impresión que se cuida mucho al turismo. Nos quedamos con ganas de mas horas para recorrer, pero seguramente volveremos"
ui_bubble_rating bubble_50, mayo de 2019,Armando Garza,"Excelente Muestra de Café Orgullosamente Mexicano.  El fin de semana se presentó en el Zócalo y es un gusto el fomentar la cultura por el café y sobre todo si es Mexicano,  en el país tenemos café de muy alto nivel, respeto los gustos pero la verdad esa marca de logo verde que solo vende imitación café. No se compara con nuestro producto.  Si pueden visiten las fincas cafetaleras de Veracruz, Oaxaca y Chiapas.  es un orgullo.    Saludos"
