,Descripción,Año,Mes,retroalimentacion
148,pequeña mañana olía caño fuertemente ve tan limpio lugar,2020,4,0
149,lugar horrible hice reserva anticipación día   agosto llegar solo pude quedarme  hora día perdiendo manera reserva realizada consecuencia dinero pagado debido que cuarto…,2020,4,0
150,Personal agradable dispuesto ayudar cómodas Cerca ciudad realidad servicio bueno buen costo,2019,4,1
151,primera vez familia hospedamos escogimos siguiendo consejos unas youtubers peruanas recomendaron Sentí cosas veían diferente mostraron ejemplo…,2020,4,1
152,Habitacion simple descuidada baños to piso sucios inodoros atorados areas comunes minimas Si llegas noche caminar policia cierra calles seguridad ubicacion buena podria mejorar brindan desayuno simple cumple,2020,4,0
153,sitio inmejorable ubicación avisan discoteca terrazaazotea último piso h imposible dormir,2020,4,0
154,hsotel ubicación inmejorable cuadra zócalo desayuno sencillo rico limpias cómodas terraza bar bella puede cenar l bueos precios personal sumamente amable,2020,4,1
155,hospede utilicé servicios tour paseo personalizado recogieron hora acordada llevaron Teotihuacan guia Yun preocupó tiempo seguridad explicaciones fueron…,2020,4,1
156,buena atención ubicado excelente lugar a cuadra Zócalo lamentablemente limpieza duchas da pensar Obvio mochileros debe significar duchas limpien nunca turistas merecemos más,2019,4,0
157,si cambio Administración así hace años hospede hotel recordaba mas confortable cuanto acabados lobby ambiente desayunos tipo desayuno los…,2019,4,0
158,ubicación buena vista Zócalo linda personal atento da información hacer ciudad Encontré cucaracha cama wifi habitaciones,2019,4,0
159,Malísima atención tipo recepción moreno amabilidad atención cliente turistas iban maletas nadie nadie ayuda abrir puerta baños tapados desayuno mismo días buya…,2020,4,0
160,buen lugar,2020,4,1
161,mejores,2021,1,0
162,buena atención cuartos pequeños,2020,4,1
163,gusto ubicación gusto recibimiento forma brindar información cuarto oscuro publicidad Booking buffet desayuno variado,2020,4,1
164,mal considerando terraza bar súper concurrido asistentes bajan haciendo bastante escándalo puede interrumpir sueño plano arruinartelo mantiene encanto sencillo pero…,2020,4,1
165,Seguro limpio necesario pasar noche incluye modesto desayuno vale pena personal atento agradable PD mando saludo tocayo,2020,4,1
166,bonitas cómodas cerca centro histórico CDMX único desagrado traía jugo mano hicieron tirarlo pasaba según informaron MAS aparte muy…,2020,4,0
167,Excelente ubicación delicioso desayuno malo baño compartido,2020,4,1
168,buen lugar relajarse,2020,4,1
169,general bien excelente ubicación buena actitud atención personal puntos mejorar persianas madera regadera filtra aire instalaciones luz fallan bastante menos la…,2019,4,1
170,encanta hospedarme lugar duda cambiaria ningún otro excelente servicio excelente ambiente excelentes instalaciones amooo terraza lugar perfecto recomiendo ampliamente solo único…,2020,4,1
171,cinco noches segunda cambiarme huésped roncaba problemas hacerlo cocina solo abierta  puede ser complicado si saliste todo…,2019,4,1
172,encanta céntrico limpio cómodo,2020,4,1
173,cercanía lugares turísticos convierten mejor opción sumado unas excelentes instalaciones amabilidad personas trabajan allí,2020,4,1
174,Lugar turistas recomendado intercambio cultural da dormitorios fascinante,2020,4,1
175,Ubicación inmejorable Sábanas limpias buen ambiente,2020,4,1
176,bien ranqueado desayuno variedad opciones ubicación perfecta inconveniente llave días incómodo tener q ir varias veces recepción q solucionaran podía bañar ya…,2020,4,0
177,gusta lugar cuartos bien precio bastante bueno gustó hombre seguridad pida propina cada vez vas cuarto cuidan maletas moleste das propina él…,2019,4,0
178,Pésima atención Quise hospedarme hace días llegué noche personal mal encarado grosero pidiendo regalado,2020,4,0
179,Excelente hostal buena ubicación recepción amables Solamente sola queja partir am comence escuchar ruidos recepción ventana daba recibidor,2020,4,1
180,Verdad Mal Servicio atención Recepción Tipo lleva Nombre Benjamín sale pésimo hospedada día  días serio dan solución día  Sep tapó Baño estaba…,2020,4,0
181,experiencia agradable personal servicial ambientes excelentes desayuno brindan perfecto bien,2020,4,1
182,Solo deberían callar personas después  pm estan riéndose pasillos hablando fuerte incluso poniendo música dejan dormir otros demás excelente,2020,4,1
183,personal amable ayudaron necesite desayuno rico bien completo buena ubicación instalaciones cómodas modernas lokers grandes permite poner todas cosas dentro problema wifi andaba bien relevante,2019,4,1
184,ubicación buena estan bien aunque nota edificio años terraza agradable desayuno pueden mejorarlo café gustó nada General estancia Agradable ,2019,4,1
185,lugar excelente locación recepción atentos amables terraza increíble edificio viejo buenas condiciones Pasé buena noche fresco lluvia sé si verano…,2018,4,1
186,excelente ubicación personal restaurante azotea A amables todos Reserven tiempo,2020,4,1
187,dieron llave recamara recepcionista llegada viernes tarde antes turno nocturno pésima actitud baño sucio puerta ducha servir sabanas percudidas baño tenia fuga dejaba dormir,2019,4,0
188,Super cómodo centrico,2020,4,1
189,persona encargada atención grupos nunca respondió correos recepción mismo pedían hiciéramos llegar atento altanero teléfono llegar daban toallas lavandería quedaron mal…,2018,4,0
190,limpio baños tocó señor atendernos amable,2020,4,0
191,PRECIO ACCESIBLE BUEN SEVICIO,2020,4,1
192,ubicación servicio front deseo buenísimos ruido dentro tubo flujo continuo agua afecto sueño mucha actividad madrugada mantenimiento fiesta huéspedes pudiendo utilizar bar escándalo limpieza deficiente,2020,4,0
193,lugar bueno pasar buen rato música vivo bar cocina buen ambiente excelente conocer personas diferentes lados muchas cosas más Cuenta excelente vista lugar cerca cualquier museo centro cultural recomiendo completamente gana cinco estrellas ,2018,4,1
194,buen lugar Limpio cómodo bien ubicado Buen trato personal seguridad excelente,2019,4,1
195,bien buena ubicación seguridad además desayuno buffet variado desde leche fruta variada si noches madrugadas bulla debido to to piso un…,2020,4,1
196,casi perfecto cerca todo adentro bonito atencion buena amables vista terraza hermosa elevador experiencia general cuanto maravillosasolo hacia…,2020,4,1
197,cómodas aunque encuentran perfecto estado accesible precio trato amable,2020,4,1
198,Buen precio excelente desayuno cómodas limpias recomendaría volvería hospedar,2020,4,1
199,Buen lugar viajeros presupuesto Aunque suele lleno ubicación inigualable desayuno tipo americano noches fiestas terraza mejor personas desean descansar Suele ser caluroso tipo construcción cerrado lugar,2019,4,1
200,general estancia cómoda compartida mujeres baño suit buen tamaño tener baño ahí hace practico Además vista zócalo bonito desayuno bien Esperaba más…,2020,4,1
201,Perfecta locación Cama cómoda Lamentable servicio cuentan agua beber siquiera venta ruido debido bar azotea da prioridad huéspedes,2019,4,0
202,Primero señores meson encontre atentos cortantes posible saliendo maletas  AM joven dignara levantarse asiento abrir puerta llegamos mundo joven e…,2020,4,0
203,lugar único ofrece ubicación incómodos cuartos falta aseo baños puede descansar terraza usan bar gente exterior ingresa respetar huéspedes trato en…,2019,4,0
204,Si gustan hostales económico adelante Tiene Buena ubicación buen servicio único malo losdesayunos,2019,4,1
205,Buen acogedor aunque gusto poquito chico bien cómo servicio vista,2020,4,1
206,estancia compañeros estupendamuy buena atención excelente ubicación,2020,4,1
207,Nunca experiencia hospedarme sobrepasado expectativas compartir personas genial ademas instalaciones adecuadas,2020,4,1
208,Recomiendo llevar candado guardar cosas ser principiantes dejamos cosas valor regresar encontramos Nunca limpian tampoco dejan amenidades si toman nos…,2019,4,0
209,primera vez decido hospedarme arrepiento quede noches personal amable súper seguro acogedor aquí necesitas pasar estadía fenomenal doy  estrellitas el…,2020,4,1
210,estadia buenaEl desayuno excelente personal atento limpieza lugar buena general encantó ambiente gente Si viajar México nuevamente seguro vuelvo elegir,2019,4,1
211,limpio puedes hacer uso cocina si necesitas agua beber puedes servirte ahítiene buena conexión internet deberían mejorar sonido hacen cañerías tiempos,2020,4,1
212,Buen día gustaria saber mejor forma mas economica llegar aeropuerto,2020,4,0
213,correo proporcionaron facturar respondieron,2020,4,1
214,cuartos demasiado pequeños luz natural bastante sucios ruido tarde bar terraza ventanas dans pasillos único punto positivo terraza buena vista,2019,4,0
215,dedayuno hace mas variedad cuanto parecio maximo proximo viaje volveria hospedár ustedes,2020,4,1
216,lugar bueno respecto q calidad precio terraza desayunos increíble,2020,4,0
217,terraza agusto sirven buenos tragos día vista hermosa sombrillas cubren bien sol baños limpios Creo deberían dar publicidad lugar conocía nunca oído hablar bar,2019,4,1
218,agua tibia regadera sábanas ven gastadas Faltan enchufes habitaciones Creo estancia verano incómoda falta aire abanico Ruidoso,2019,4,0
219,hospedé días hacer trámites Ciudad México ubicación excelente lugares iría relativamente cerca desayuno rico terraza esta…,2019,4,1
220,Excelente hostel personal amablelo mejor terraza desonde puede ver catedral ❤,2020,4,1
221,Pésimo Siempre dan mismo desayuno ruido terraza dicen lavandería luego nunca monedas baños tan aseados cocina casi utensilios Aveces llegamos preguntar decían una…,2018,4,0
222,Pésimo servicio atención terrible entregan sábanas manchadas sangre cobijas lavar huésped anterior,2020,4,0
223,Dentro promedio costo beneficio Si paso buscas descansar fin semana lugar bar piso  bulla escucha habitaciones,2020,4,0
224,buen hostel ubicado espaldas catedral CDMX cerca lado Ofrecen desayuno libre terraza restobar bonito buena opción hospedarse ciudad Mexico ,2020,4,1
225,Buen lugar pasar par noches buen precio céntrico WiFi veces funciona pisos altos desayuno regular podria mejorarse,2019,4,1
226,lugar agradable vista terraza mejor puede tener trato amable único agua caliente baño pedí factura estancia misma aún recibo terminar mes,2019,4,1
227,Encantado habitación comoda tranquila super limpia atención personal siempre amable atenta parece excelente hospedaje recomendado,2019,4,1
228,bueno servicio Gracias,2020,4,1
229,bien el Personal amable buen desayuno,2020,4,1
230,único bueno ubicación falta personal limpieza comprende partes sucias cocina área computadoras dormitorio tocó lleno basura internet funciona bien camas cómodas ducha agua caliente,2018,4,0
231,lugar encuentra limpio personal amable elevador falló  veces estancia pues llegar equipaje pesado tener subir puede ser complicado Internet punto falla mucho hacer cosas…,2020,4,1
232,estancia agradable empleados amables Nunca buena experiencia terraza vista increíble,2019,4,1
233,naturaleza función práctico andar cargando toallas baño excelente incluyeran servicios rentaran aparte,2020,4,1
234,céntrico agradable personal atento extremadamente pequeñas caminar puedes estancia TV funcionaba hicieron respecto puedes descansar noches porque…,2019,4,0
235,fantástico cuartos baño limpios ventanas dan interior edificio comunicando edificio área común si quieres abrir ventanas ingreso mediante…,2019,4,1
236,fantástico si vas plan darlo cada noche jaleo jóvenes ganas fiesta ruido Aún así ubicación fenomenal conexión internet hace  recomendable Si problemas dormir sitio escándalo comento inicio,2018,4,1
237,perfecto verdad Excelente ubicación Personal amable,2020,4,1
238,bien aunque recibido cuarto miniatura baño compartido descompuso elevador iba ser reparado dentro  semana Luego entonces acudí recibir atención recepción  ya…,2018,4,0
239,da vez quedamos hostal verdad volvimos excelente ubicación desayuno Mexicano lastima haber encontrado vez mismo ofrece cualquier pan cereal cafe etc realidad era…,2020,4,1
240,lugar cálido céntrico,2020,4,1
241,céntrico encargados mucha actitud Cuenta servicios,2020,4,1
242,gusto expuesta escuche corre agua recomendación bueno poner fiesta viajeros buscan descanso es bufete horrible café frío muy…,2019,4,0
243,contentos habernos hospedado ustedes ciertas cosas leído términos generales estancia general buena complaciente Mil gracias equipo atención,2019,4,1
244,favorito visitas CDMX ubicación perfecta desayuno bueno,2020,4,1
245,estancia aqui maximo desayuno mejores hostels incluye queso jamon así mil puntos bar arriba increible ambiente buenisimo personal atento ayudaron maletas y…,2020,4,1
246,increíble grandes recuerdos si quieres conocer centro ciudad presupuesto idóneo ti camas bien baños Limpios ubicación puede ser mejor da oportunidad concocer personas increíbles,2019,4,1
247,precio bueno incluye desayuno descuento comida vista maravillosa bar general hizo limpio zona excelente,2018,4,1
248,privada sumamente pequeña bien considerando casi día patio luz convirtió comunicador grupo grande colombianos llegaron misma forma les…,2018,4,1
249,Económico cómodo atención excelente bien ubicado,2020,4,1
250,céntrico armonioso personal agradable limpio favorito hermosa vista encanta,2019,4,1
251,Unicado estrateticamente instalaciones impecables atencion super precio simplemente mejor decision,2020,4,1
252,Buen desayuno personal hace ruido noche,2020,4,0
