,Descripción,Año,Mes,retroalimentacion
99,Ubicado corazón centro histórico transporta viaje pasado instalacionescomo ejemplo elevador conducido elevadorista llamas sonado timbre suena campana habitaciones mobiliario antiguo…,2020,4,1
100,Excelente ubicación comida personal amable Sólo si necesitas servicio taxis decides pedirlo recepcíón asegúrate verificar precio exagerado Enfrente Citybus paseo leyendas los…,2020,4,1
101,Vista espectacular Zócalo,2020,10,1
102,triste sistema recepción Cuándo estan gana contestan dejan tirado línea mienten hora darte información Pésima actitud servicio responsables área,2020,4,0
103,LUJO PERSONAL SUPER EXELENTE NECESITAS VIVIRLO,2020,4,1
104,Encantador vista terraza comida tradicional,2020,4,1
105,personal atento amable siempre pendiente necesite,2020,4,1
106,céntricoexcelente atenciónbuena comida Excepto CUENTA ESTACIONAMIENTO,2020,4,1
107,Lindo ubicado Zócalo limpio seguro salir encuentra Avenida Madero diversos comercios restaurantes bares cuenta restaurante terraza vista fantástica único malo escucha bullicio plaza,2019,4,0
108,Excelente ubicación cerca sitios históricos tiendas buena atención personal atento colaborador Magnífica vista restaurante,2020,4,1
109,Excelente lugar riquísimo buffet,2020,4,1
110,Solo voy bar,2020,4,1
111,comodo,2020,4,1
112,Excelente atención,2020,4,1
113,lugar vista increíble Zócalo Ciudad México dos cosas podrían mejorar atención huéspedes recepción turno diurno amables colchón viejo demás exelente,2019,4,1
114,Excelente atencion,2020,4,1
115,terraza ofrece espectacular vista zócalo ir comida cumple lejos expectativas,2019,4,0
116,buen personal amable recomendable solo paso único consejo elijan habitaciones den hacia zócalo eventos sé pueden ser constantes noche dejó dormir temprano,2019,4,0
117,ELEVADOR MANUAL ANTIGUO ESPERAR EMPLEADO DISPONIBLE OPERARLO PUEDES TARDAR MIN ESPERANDO ELSERVICIO USAS ESCALERAS ULTIMO DIA PRESENTO ASEO PM QUERER HACER ASEO PROBLEMAS ENVIO DEFACTURAS DEJAN COLGADO SOLICITARLAS CUARTO CLIMA VENTILADOR,2020,4,0
118,Excelente servicio alimentación deliciosa variada atentos puede descansar tranquilo,2020,4,1
119,Hola hospedados semana familia excelente servicios cordiales eficientes servicio restaurante completo personal agradable,2019,4,1
120,viejocon unas camas mal caro ofrece comidas evitar desayuno Buffett evitar cena recomiendo restaurantes encuentran alrededores,2020,4,0
121,ruido proviniente calle Habitacion balcon puertas mismo dificiles cerrar antiguas,2020,4,0
122,Experiencia inolvidable,2020,4,1
123,personal restaurante amable especial Sergio Recomendado,2020,4,1
124,instalaciones coloniales antiguas hacen disfrutes estancia embargo personal falta empatía huésped pues muestran educación saludarnos llegar salir días…,2020,4,0
125,Excelentes cuartos buena experiencia excepto estacionamiento propio excelente ubicación cerca puedas buscar,2020,4,1
126,instalaciones demasiada antiguas limpieza bastante sucio personal agradable bien situado,2019,4,0
127,Lugar ameno,2020,4,1
128,buena ubicación centro histórico estupenda vista zócalo edificios históricos rodean,2019,4,1
129,Excelente vista buen servicio solo quedan cortos mantenimiento creo hace falta personal demás vuelvo hospedar allí duda ubicación mejor,2019,4,1
130,buen servicio,2020,4,1
131,súper parece dos ciudades diferentes entras centro toda gente ves pasa entras cambio radical vuelve realidad salir balcón atención buena intalaciones limpias seguras exelente servicio,2020,4,1
132,atención personal excelente habitaciones amplitud seguridad Pudieran esmerarse aseo entregan habitaciones limpias peto si permaneces varios días ahí Solo tienden cama sacan basura trapean piso barren habitación,2019,4,0
133,gusta encuentra centro CDMX,2020,4,1
134,buen lugar,2020,4,1
135,Pésimo servicio llegue madrugada decidí siquiera quedarme restaurante cambio excelente servicio comida vista zócalo,2019,4,0
136,Amé linda azotea vista Zócalo ❤,2020,4,1
137,rico buffet buen precio 😋,2020,4,1
138,buena ubicación justo corazón social politico económico financiero país,2020,4,1
139,Bello hotelterraza vista increíble falta mejorar atención personal malacariento apático,2020,4,0
140,Bonito buen servicio restaurante,2020,4,1
141,bonito aunque falta cuidar detalles lugar histórico apariencia descuidado ve viejo ojalá cuiden,2019,4,1
142,mejor centro ciudad buen precio atención lujo,2020,4,1
143,buffet completo cuenta rededor alimentos diferentes incluyendo postres cerveza puede ser barril botella preferencia duda alguna desayunar comer cenar simplemente pasar rato terraza es…,2018,4,1
144,restaurante vista plaza constitución comida exquisita buen precio recomendable,2020,4,1
145,Hermosa vista plaza constitucion restaurante simplemente hermoso,2019,4,1
146,vista hermosa🍸😍,2020,4,1
147,Listo fiesta independencia CDMX,2020,4,1
148,Barato chido,2020,4,1
149,Excelente ubicacion limpio comodo buena relacion calidadprecio,2019,4,1
150,Excelente enfrente zocalo,2020,4,1
151,bonito personas gusta vivir lugares antiguos elevador viejo vista Zócalo buena regular decoración desayuno abundante precio,2019,4,0
152,años mantenido entonces Cama cómoda ubicación buenísima personal bueno,2020,4,1
153,menos llegando restaurante faltaban minutos dieran tarde todavía puesto buffet mesero recibió dijo podían dar servicio dijo esperábamos iniciará…,2019,4,0
154,terraza restaurante gran vista Zócalo excelente atención buen buffet desayuno Baños limpios,2019,4,1
155,antiguo bien conservado excelente ubicación vista plaza zócalo pude ver soldados izan bandera servicio excelente habitaciones lujos agradables restaurante terraza…,2017,4,1
156,excelente,2020,4,1
157,Lugar limpioy acogedorpero mal servicio Bell boys,2020,4,0
158,buena atencion deliciosa comida unici q si sienyo q caro bn gusto recomiendo maximo,2019,4,1
159,Excelente atencion,2020,4,1
160,encantó bonito buena ubicacion Justo frente zócalo Si sueño ligero mejor llevar tapones ruido viene zócalo cama super cómoda baño bien funcionando…,2019,4,1
161,hace falta urgencia total remodelada,2020,4,0
162,Hoteluy bien ubicado solo vez luego muchas visitas víctima robo habitacion Lamentablemente lis responsables miraron lado ayudaron nafa lastima última experiencia hospedó acá,2019,4,0
163,Pésimo allá buena ubicación cobran dineral unas instalaciones horribles Viejo sucio mal gusto,2019,4,0
164,Bien edificio colonial gusta concepto habitaciones estan bien tambien ubicado centro asi util quieren salir centro ciudad directamente,2019,4,1
165,buena ubicación ruido Fallo puerta línea telefónica tarjeta desprogramarse cada hrs desayuno abundante x pesos Personal amable front desk faltamas amabilidad,2019,4,0
166,Legendario lugar cuyo restaurante da excelente vista Plaza Constitución centro Ciudad México,2019,4,1
167,mejor ubicación,2020,4,1
168,elegante,2020,4,1
169,Excelente lugar,2020,4,1
170,descuidado,2019,4,0
171,Siempre gustado hacía años alojaba trabajé Hostales México tiempos Don José Brockman hijo Gonzálo ex compañero universitario Jorge Tort detalles desaniman ejemplo hecho proporcionen factura fiscal tiempo forma,2019,4,0
172,bonito caro vale pena centro cdm restaurante tiendas chocolateria boutiques,2020,4,1
173,Excelente vista preciosa zócalo habitaciones cómodas agradables,2020,4,1
174,buen lugar,2019,4,1
175,Excelente lugar gimnasio centro negocios pequeño,2020,4,1
176,Hace tiempo dentro parte personal prácticas di cuenta servicio restaurante bueno llevan bien comida menos favor bar realmente tranquilo…,2019,4,1
177,malo costos altos instalaciones viejisimas rente habitacion lugar cama parecia cuna colchon super hundido pésimo atencion deficiente,2019,4,0
178,Lugar limpio agradable personal eficiente atento Solo madrugada ajeno prueba alarma interrumpe sueño,2019,4,1
179,personal atento habitaciones limpias seguridad entrada general hermoso,2020,4,1
180,Desayuno supuestamente Buffet aunque variado servicio bueno ambiente familiar turistas gringos edificio antiguo colonial gran vista Zócalo,2019,4,0
181,Magnífico nn si tomas promoción valdrá pena,2019,4,1
182,corazón Ciudad México Cerca Habitaciones ideales descansar quién quiere descansar afuera esperando hermosa ciudad,2019,4,1
183,Excelente staff atención parte único detalle zócalo veces ruidos calle permiten descansar bien,2019,4,1
184,Lugar tranquilo servicio bueno excelente muchas CUCARACHAS baño reportar infestacion hace personal solo toman nota sucedido opinión mal trato terraza comer,2019,4,0
185,habitaciones comodas bien equipadas limpias espaciosas terraza gran bufet comida riquisima embargo camas ruedas respaldo cama fijo pareció incómodo De…,2019,4,1
186,ubicación buena atractivo turístico bello atención primera Además gran historia terraza vista grandiosa zócalo,2017,4,1
187,personas laboran ahí excelentes amables hospedas dejas habitación cuarto toco ruido noche salio nunca agua caliente tenias dejar tiempo abierta el…,2018,4,0
188,Elegante lugar,2020,4,1
189,iba bien llegar habitación higiene mala mantenimiento malo sucio lleno polvo espejos sucios socket lámpara roto cerradura sirve recamara cama olía mal y…,2020,4,0
190,bonito empleados excelentes amables bonita atención ubicación excelente solo queja cuál vuelvo regresar camas estan tan duras tabla literalmente amanecí una…,2019,4,0
191,instalacion pesar ser edificio antiguo completamente bellas limpias cuidadas recomendables buffet riquisimo atencion personal excelente especificamente apoyado Gustavo recepcion atendio maravilla PD vista increible terraza,2019,4,1
192,Excelente ambiente buena atención personal lujo Gracias,2019,4,1
193,Buena ubicación Especialmente si concierto zocalo,2020,4,1
194,comida excelente duda hermoso lugar vista hacia catedral explanada centro ciudad México cualquier época año agradable lugar degustar rica cena desayuno,2018,4,1
195,atendieron bien limpio buen servicio habitacion unico problema restaurant puro bufet,2019,4,1
196,Alta calidad bueno trabajo impecable inicio reservacion,2020,4,1
197,Bonito cama comodamucha tranquilidad noche,2020,4,1
198,Excelente servicio,2020,4,1
199,restaurant mejor espero regresar peonto,2019,4,1
200,realidad bonito excelente ubicación pasos Zócalo Centro Histórico realidad carece comodidades amenidades comentan página web hacer llamadas…,2019,4,0
201,edificio bonito conocí habitaciones restaurante parecieran mezclarse detalles antiguos sólo descuidados,2019,4,1
202,mas lindo,2020,4,1
203,Exelente servicio comidas exquisitas,2019,4,1
204,Fué agradable cena Zócalo bellamente alumbrado,2019,4,1
205,Ubicación excelente recorrer centro histórico habitaciones excelente vista palacio nacional catedral restaurante terraza recomiendo bufete mala variedad mal sabor,2017,4,1
206,Falta acondicionar ventanas disminuir ruido zócalo,2020,4,1
207,Excelente servicio reserva eficientes,2019,4,1
208,Demasiado caro raquítico ser bufé buffet talla internacional servicio deja desear especial capitán meseros gerente resposable área restaurante invitación volver,2018,4,0
209,bellísima casona tradicional encantó elevador 😍 Sólo agregaría aire acondicionado habitaciones,2019,4,1
210,servicio bastante bueno creo personal podría ser ligeramente amable noche habitaciones excelente lugar recomendable,2018,4,1
211,rústico demasiado conservado da tranquilidad agradable Limpio Ordenado,2018,4,1
212,Bien agradable vista maravillosa noches amanecer gusto vuelvo,2018,4,0
213,Extraordinario bello verdad excelente ubicación,2020,4,1
214,Recomendable limpio personal atento ubicación increíble cerca muchas atracciones turisticas regreso,2019,4,1
215,Horrible cae verdad viejo cucarachas único bueno vista,2020,4,0
216,vista zócalo capitalismo restaurant pocos,2020,4,1
217,buen hote excelente ubicación,2019,4,1
218,mal,2020,4,0
219,Excelente ubicación recomendable tranquilidad solo sonidos normales centro CDMX,2019,4,0
220,cuartos lugar bueno ubicación servicio personal mejor bonito lugar visitar descansar cerca centro,2018,4,0
221,Excelente ubicación buena atención encanto mejor centro histórico bellísimo México,2018,4,1
222,buena atención,2019,4,1
223,vista increíble lástima puedas ordenar alimentos carta solo permiten consumo buffet lugar mucha gente bien tomar trago atención excelente,2018,4,1
224,habitación comoda general aunque permite ruido calle ofrecen opciones estacionamiento convenio algún estacionamiento público aunque varios cerca encontramos cucarachas baño,2018,4,0
225,duda mas iconicos dentro centro ciudad México exclusivos desayunos incluidos excelente room service preciosa vista centro capital México 😍,2019,4,1
226,vista increíble si suerte temporada baja pide ventana hacia Zócalo entrada bella interior habitaciones mejorable muebles paredes requieren mantenimiento,2017,4,1
227,bonito bufete habitaciones linda vista camarera robo anillo matrimonio,2019,4,0
228,ubicación áreas comunes bien mantenimiento habitaciones Mal,2019,4,0
229,Buena ubicación extremadamente ruidoso puede dormir bien,2020,4,0
230,sitio bastante céntrico habitación amplia confortable vistas zócalo,2018,4,1
231,bonito servicio cuarto rápido ocasiones siquiera llevaron pedí habitación bien hace falta mejor recepción televisión wifi,2018,4,0
232,agradable vista imprecionante hacia Zócalo Catedral Metropolitana Palacio Gobierno😍😍,2019,4,1
233,restaurant Servicio normal mundo Relación valor precio tan buena elevador pequeño ve falta mantenimiento,2018,4,0
234,lugar lindo si quieres disfrutar México cultura Zócalo buena opción,2019,4,1
235,Mucha personalidad céntrico Excelente opción,2019,4,1
236,hospedé pasado abril noches realmente pesadilla Llegando di cuenta cuenta aire acondicionado dieron habitación daba Madero podía…,2019,4,0
237,lugar agradable,2019,4,1
238,Excelente Buena atención Restaurante Buena ubicación,2018,4,1
239,excelente,2020,4,1
240,vista Zócalo buen lugar caro elegante único quieres habitación días festivos precio eleva vale precio,2014,4,1
241,lujoso gusta ubicación comida rica,2019,4,1
242,respira aire México antiguo aunado modernidad Siglo XXI lugar seguro hermosa arquitectura disfruta Ven conocerlo,2017,4,1
243,habitación infestación chinches higiene lugar horrible Vimos higiene terrible menos habitaciones así única personal porto amable trato poner mejor cara un…,2017,4,0
244,Nostalgicos bellos recuerdos Ciudad México años cuarentas MAJESTIC,2019,4,1
245,viejo atención cliente buena ubicación céntrica excelente,2019,4,1
246,Buena atención seguridad pleno centro malo camas duras buena comida,2018,4,1
247,Bonita vista cena comida,2019,4,1
248,Excelente ubicación buena atención agradable vista malo encontré desagradable olor baño calidad mobiliario entiende antigüedad edificio duda amantes antiguo encantará,2019,4,1
249,Súper céntrico bien atención cálida Excelente recepción único pareció restaurant vista panorámica zócalo servicio carta sólo buffet barato manera nantenerlo exclusivo,2019,4,1
250,quise llamarles reservar avitaciones personas nunca contestaron levantaban bocina colgaban llamada deja decir deustedes,2019,4,0
251,ubicación perfecta quiere turistear DF terraza espectacular vista zócalo,2019,4,1
252,Alguna tarde pasa tomar cafecito disfruta majestuosa vista ofrece històrico lugar Aprecia arquitectura,2018,4,1
253,Excelente disfrutar bella vista Zocalo Capitalino restaurante terraza desayunos buffet días instalaciones comodidad lujosas necesario estancia cómoda agradable precios altos zona vale pena,2018,4,1
254,Buena ubicación mal servicio WiFi inservible reportó personal nunca repararon,2018,4,0
255,atendidos maravilla personal amable habitacion implecable mejor ubicacion ciudad Mexico,2018,4,1
256,situado costado explanada zócalo Excelente vista ideal rentar habitación algún evento pagar palco lujo Excelente precio según ubicación,2014,4,1
257,atención buena mintieron enviaron ropa lavandería devolvieron sucia,2018,4,1
258,buena ubicación habitaciones pequeñas vomodas buffet igual pequeño rico único problema coordinación limpieza cuarto pueden ir tarde querer limpiar despertarte temprano mismo,2018,4,1
259,ser viejo pisos d maderA puedes dormir oyen pasos todaslas habitaicones igual qlas camas horrible estacionamiento malo restaurante,2018,4,0
260,Pesimo Habitaciones viejas agua sale fría Tardan llevar amenidade único bonito vista zocalo,2018,4,0
261,buen vista Zócalo accesible cómodo,2019,4,1
262,limpio buen restaurante excelente servicio ubicación bonita ciudad,2017,4,1
263,Pintoresco necesario,2019,4,0
264,comida variada buena secas atención vista Zócalo inmejorables ideal llevar quiénes vienen visita ciudad,2018,4,0
265,excelente prácticamente costado zócalo personal amable faltan conexiones eléctricas poder cargar teléfonos,2017,4,1
266,Personal calificado profesional ameno arquitectura ascensores antiquísimos igual Centro Histórico Buen desayuno incluido calefacción aire acondicionado refrigerador mayoria,2016,4,1
267,Terrasa restaurante pésimo tardan horrores servirte final factura tipa cobra factura hizo incorrecto recibimos dichas facturas Cero recomendable,2018,4,0
268,Bonita vista zócalo,2020,4,0
269,Envienme fotos desayuno,2018,4,1
270,mundo linda vista zócalo capitalino,2018,4,1
271,ir tomarse selfie techos vitral hermosiiisimo super recomendable bien ubicado,2018,4,1
272,Excelente ubicación buena vista instalaciones cómodas buen diseño conservando historia edificio buen servicio,2017,4,1
273,bien,2019,4,1
274,Lugar antiguo colonial falta cuidar detalles tratan combinar antiguo nuevo único bueno vista plaza zócalo,2017,4,0
275,gustó hotelbonito personal amable excelente vista Zócalo habitaciones lamentablemente cuenta estacionamientono dónde parar afuera esquina dejan parar bajar maleta unico estacionamiento hrsesta cuadraslos demás cobran hr,2018,4,1
276,Excelente ubicación diseño único problema exceso ruido puerta terraza cerraba recomendable colocar algún aislante ruido doble vidrio cortinas anti ruido,2016,4,1
277,comida mejor vale pena vista,2018,4,0
278,vayan nunca Restaurante Terraza Gerente nombre Sabino Campos actitud péima grosero prepotente hoy hija ver lugar ver si quedabamos comer tomar abordo entrada le…,2018,4,0
279,viejo mucha historia restaurant formidable mejor vista zocalo,2018,4,0
280,Personal atento amable buena vista Zócalo CDMX buen restaurante piso alto edificio edificio antigüo buen cuentan buena comida variada diariamente,2018,4,1
281,terraza restaurante vista Zócalo incluye Catedral Metropolitana Palacio Nacional portal Mercaderes sede hotellos edificios Gobierno CDMX Monte Piedadun cuadrilátero arquitectura virreinal enmarca Bandera Mexicanaondeando,2019,4,1
282,Excelente servicio agradable,2018,4,1
283,buen lugar relajarse fin semana céntrico cerca zócalo varios lugares interesantes,2016,4,1
284,mala experiencia Practiamente negaron servicio queríamos comer buffet mandaron mesa toda chafa Según política mejores mesas mejores clientes consumen buffet Solo tomamos…,2018,4,0
285,Falta renovacion servicios basicos ejemplo solo elevador manual asi decirlo habia funcionar Habitacion AC abanico buena ubicacion vista frente Zocalo,2018,4,0
286,bien zona verdaderamente histórica,2018,4,1
287,caro bufete calidad comida,2018,4,0
288,buena atención bien ubicado zócalo esquina calle peatonal contrate agencia Interjet economoco alimentos zona comer elevador atendido operador amablesno clima hace frío así necesita,2018,4,1
289,mala experiencia estancia dias toallas aunque pedía llevaban siguietecdía hicieron servicio limpieza solicité varias veces nunca atendieron encargado recepción turno vespertino grosero déspota recomiendo,2019,4,0
290,ubicación espléndida poder apreciar disfrutar primer cuadro ciudad,2018,4,1
291,bien hotek,2020,4,1
292,atención excelente excepto restaurante Comida cena bastante bien desayuno similar Sanborns caro Meseros septiembre super lentos olvidadizos,2017,4,1
293,recepcionistas ser mas atentos demas bien,2019,4,0
294,Pesimo servicio,2020,4,0
