,opinion,mes,año,retroalimentacion
10,Best Western Majestic lujoso ninguna manera encanto viejo mundo azulejos talavera ascensor puerta seguridad mejor lugar ubicación justo Zócalo tiro piedra Palacio Nacional Catedral Metropolitana Templo Mayor parada metro parada Turibus tipo restaurantes tiendas Ten cuenta aunque vista estupenda habitaciones dan Zócalo puede ser bastante ruidosa am diaria ceremonia recaudación bandera campanas iglesia hora cuarto hora manifestantes tráfico etc habitaciones aire acondicionado nevera,4,2012,0
11,si pagado tarifa anunciada clasificado inferior hice habitación daba Zócalo hace habitación pesos base solos románticas vistas viene precio am marcha banda emerge puerta palacio nacional extremo lejano zócalo sigue bandera caña ritual diario izar bandera mexicana implica montón bugles tambores minutos problema Â° mañana dormimos través colegas habitaciones frente Zócalo contentos ello así timbres botones catedral metropolitana necesidad asegurarse mayoría de…,4,2012,0
12,alojamos aquí viaje organizado izquierda Pasé noches propia excursión empezó personal amable servicial ubicación excelente hacen sentir México embargo habitaciones ruidosas agua caliente mañana arreglaron enseguida cerca línea principal metro ventaja pesos viaje thinkyou conseguir whatyou paga,4,2012,0
13,alojamos histórico Noviembre semana primer viaje MC amigos joya vejez elegancia debe comprobar habitación completamente renovado personal amable hagan posible usted problema extraña guay noviembre MC milla altura calefacción habitación aparentemente ninguna habitaciones pedimos Pensé extraño sabiendo MC puede llegar hacer frío invierno quizás simplemente estadounidenses quejarse Hacía calor día refrescarse noches dieron montón extra cubre no…,11,2011,1
14,ubicación buena justo medio centro histórico después día centro histórico venga darse cuenta mejor ciudad México sentir probablemente deseará salir zona Además zona completamente muerta noche comparación zonas llenos tiempo servicio malo frío antipático desagradable habitación desastre agua caliente cucaracha baño cama dura ruidoso realidad importó dólares noche realidad montón ofertas incluso zona,3,2012,0
15,mejor Best Western Majestic distrito histórico Ciudad México antiguo precioso buena relación calidadprecio vestíbulo hermosamente restaurado muchas habitaciones sido recientemente renovado habitación daba Zócalo Catedral metropolitana izquierda Palacio gobierno cruzando plaza lado Catedral excavaciones fabuloso templo Mayor excelente museo oído informes ruido habitación pareció relativamente tranquilo especialmente ciudad servicio excelente buenos restaurantes cerca incluyendo Sanborns casa azulejos Tacuba unas pocas manzanas estación metro situado centro…,3,2012,1
16,agosto esposa alojamos Best Western Majestic general quedamos impresionados apariencia edificio personal bien cuidado vestíbulo restaurante buen personal podría haber sido servicial agradable embargo habitación muestran edad habitación limpia luego queríamos baño mobiliario probablemente volver entrada Cenamos restaurante cena desayuno ambas comidas excepcionales Recomendaría comer allí comida buena vista centro histórico inmejorable ubicación práctico explorar parte la…,3,2012,1
17,Best Western Majestic ubicado distrito histórico directamente enfrente Zócalo plaza Pide habitación mirando plaza siempre actividades hacer Best Western fantástico trabajo restablecer edificio esplendor original vestíbulo sala zona jardín interior impresionante habitación bien simple limpia personal acogedor atento lujo real comienzo positivo dos semanas aventura centro México,10,2007,1
18,alojé Majestic recomendación viejo señor British conocido año pasado Ciudad México comimos restaurante famoso Terraza tiempo dos Guerra Mundial nostálgica experiencia Desgraciadamente puedo compartir entusiasmo construido tiempo sido amable vestíbulo zonas atrio atractivas pasillos preciosas embellishments azulejos Talavera habitaciones baños huéspedes extrema necesidad renovación importante mal lúgubre cortinas habitación colgando precariously Agua caliente puede puede disponible baño obsoletos puede…,10,2007,0
19,Tthis lugar tonto,1,2007,1
20,Ubicación Ubicación ubicación… suerte tener habitación piso vista Zócalo aunque ruidoso alguien podría hacer chicos pretendía ser Aztecs baile tarde tambores favor cambiado habitaciones segundo vistas primera clase hoisting bandera gigante vida plaza habitaciones aunque altura limpias necesitan reforma seria cortinas moquetas holed agua caliente apenas baños bien obsolete preguntamos taxi pidieron conducir amigo – alguien ciudad emphasizes seguridad taxi es…,7,2007,0
21,alojé aquí dos noches Ruidoso esperar despertó am gente hablando cantando etc habitaciones grande baños parece azulejos baños mantenimiento agua caliente baño aunque habitaciones limpias cajas cada habitación veces llaves desayuno pesos buffet probamos pasteles café etc minutos tomamos cena noche comida buena llegamos precios rápidamente ser México restaurante piso superior da Zócalo da buena vista noche whent eh catedral iluminado Realmente zócalo …,8,2005,0
22,Majestic ubicado antiguo edificio justo zócalo dentro allí muchas veces gusta ubicación conveniente siempre pide habitación alto éstos pueden ser ruidoso puede habitaciones planta superior justo debajo buena restaurante parece trabajar horas día,3,2003,1
23,grupo buena tarifa noche fin ubicación práctico ir muchas atracciones zócalo Ballet metro zona parecía segura incluso noche limpio personal agradable dos patio habitaciones camas individuales cada habitaciones espaciosas estándares México baños enormes embargo ventana habitación habitaciones final pasillo allá patio así ventana opaco bloque cristal daba escalera abierto aire acondicionado así ventana cargada habitaciones tranquilo noche embargo tercera habitación grupo tenía…,7,2005,0
24,alojado Majestic muchas veces personal servicio atento amable ubicación maravilla explorar parte vieja ciudad Siempre disfruto cenar terraza habitación bastante gastadas viejas pedido dos habitaciones mirando plaza menos cama matrimonio habitación mirando calle lateral habitación mirando plaza cama matrimonio taxi privado utilizamos genial conductor útil razonable precio queja principal hecho reservaciones recibido confirmación correo electrónico tarifa quaranteed USD registro precio pesos dimos cuenta no…,10,2004,0
25,Pasamos dos días aquí enero febrero Reservamos habitación hotelservice aeropuerto dieron habitación dé dentro piso todavía ruidoso habitación conexión puerta habitación lado así sentimos huéspedes habitación veces noche ruido taladro creo noche montón ruido bar restaurante arriba ubicación fantástica gente trabajaba allí amable parada autobús visita turística sólo m Tomamos taxi privado aeropuerto recomendado personal costaba pesos desayuno incluido y…,1,2005,0
26,Best Western Majestic agradable estancias esposa alojamos Majestic luna miel Oct NOV vista Zócalo maravilloso Ceñía Muertos ir zona animado gente personal extremadamente cortés eficiente recomendaré amigos,1,2005,1
27,Acabo regresar estancia días aquí primer lugar permítanme decir viajero mantenimiento bastante fácil complacer simplemente quiero caja seguridad bastante cómoda base salir explorar alojado albergues mundo dormitorios monasterios dormimos suelo ferries estaciones tren tiendas etc lugar cómodas almohadas cama encontrado serio dormido plantas cómodas lugar ruidoso Puedo dormir cualquier cosa paredes finas papel puede oír gente habitaciones junto incluyendo ronquidos usar baño nunca dormido directamente a…,8,2012,0
28,lugar base excelente viaje vacaciones justo corazón ciudad México así ubicación podría ser mejor entrada lado calle Madero ten cuidado aunque trata edificio antiguo todas instalaciones incluso ascensor tipo persona abrir cerrar puerta usar palanca operar precio razonable incluía desayuno buffet habitación amplia cama cómoda aunque ubicación hace imposible ser tranquilo cada día mañana ejército levanta bandera pueden ser ruidoso si manifestaciones populares entonces ruidoso ubicación inmejorable montón cosas hacer en…,7,2012,1
29,Magestic justo esquina Avenido Madero Zócalo Aunque alojo Best Western propiedad precios demasiado alto opinión parar bar azotea ciudad México pocos lugares mejores capital disfrutar cerveza fría precios razonables vistas increíbles catedral bar rara vez sido ocupado tarde temprano noche parado parado terraza junto atardecer disfrutando colores tonos visto ladrillos piedra caliza catedral hace quiera momento interminables olvida ajetreo bullicio calles plaza debajo grande vida bandera nacional centro de…,6,2012,1
30,Ubicado justo Plaza República pueden ser tomadas buena ubicación personal agradable servicial críticas anteriores viejo tan cómodo cama difícil dormir insectos baño agua caliente lento así pérdida esperar aire acondicionado tan divertido hace calor puede ser difícil restaurante piso probado desayuno sólo días tan bueno comida cena bien caro calidad guardia Armado entrada mejoren seguridad recomendado si quieres ubicación central cerca atracciones turísticas Turibus autobús turístico Si quieres es…,6,2012,0
31,duda acuerdo comentarios anteriores señalando personal sabe pasa llegué teléfono funcionaba conexión internet esporádica estancia cafetera ruido intolerable pregunté recepcionista tranquilizarse grupo estudiantes gritando vestíbulo dijo nunca hicieron conservan toda noche ecos bastante mal grupo adolescentes salvaje gritando vestíbulo Aunque puede predecir ruidoso grupo estudiantes responsabilidad personal digas tubo bajando menos ir habitaciones hora razonable,6,2012,0
32,Vaya encanta lugar alojo lugar ciudad México vez siempre última instancia volver Majestic ubicación ventanas mirando hacia zócalo maravilloso personal siempre hace feliz Pide habitación vistas Zócalo Si camas demasiado duras almohadillas espuma agregar petición inconvenientes alojes piso debajo restaurante ruidoso arrastrar mesas alrededor cabeza restaurante comida horrible vista fabulosa sorpresa cautivador podría crueldad horrorizarán amanecer ejército mexicano desfila hacia zócalo toca himno trompetas elevando colosal bandera siempre dan enorme…,1,2012,1
33,ubicación genial fácil cerca muchas atracciones camas difíciles dormido situado zócalo ruido noche menudo ruidoso desayuno bueno servicio bueno antiguo accesorios comodidades reflejan,11,2012,0
34,grupo noches mientras amigos Unidos visitó México seguro basado marca Best Western promocionada estrellas tomar ventaja Prestige México duda buen hace tiempo habitaciones demasiado viejo aceptable terrible experimentar tierra rota vieja alfombra rust lavabo old difícil camas casi puede descansar toallas usadas rota incluso manchas sangre peor cucarachas menos habitación favor lea críticas misma página quejándose mismos problemas parte buena empleados hacen te…,10,2012,0
35,última noche ciudad México queríamos pasar noche relajante notado terraza vistas plaza principal leído buenos comentarios lugar así quiera seguir buscando Después pasar día caminando turismo después todas calles concurridas horas punta mercados personas restaurante ofreció momento calma silencio inesperado vista Zócalo noche ciudad tejados Palacio maravilloso cuanto comida platos bien bien presentado tradición mexicana observación actual preparada disfrutado muchísimo puedo comparar especialidades mexicanas conocimiento…,2,2012,1
36,edificio viejo hermoso interiores realmente vistas plaza increíbles cuanto habitaciones baños frescos antiguo período antiguo camas Dios camas especie broma podría ser realidad hechas tablones madera sábana interior Aún así arreglé dormir aquí semana alguna manera hacen buen margarita restaurante azotea así probablemente alojaré lugar próxima vez volver Marg,10,2011,0
37,tres parejas excursión ciudad decidimos quedarnos Majestic días ciudad Llegamos después largo viaje coche horas tarde sólo quería habitación dormir así terminamos cambiando habitaciones dieron habitación casi pedido habitación daba Zócalo buen trabajo tapones oídos alfombra suelo habitación bastante viejo sucio camas típicamente difícil habitación bastante grande comparado arreglamos conseguir ventilador piso circulación aire cerrar ventana mantener habitación tranquila restaurante comida…,3,2013,0
38,hija alojamos aquí fines enero motel limpio personal atento ruido describe crítica suceda vista increíble zócalo seguro agencia fieltro viaje motel excelente gustaría volver vez encantó,1,2013,1
39,alojé Majestic noches limpio seguro personal seguridad puertas noche personal servicial camas aceptables altura calidad general aspectos restaurante arriba excelente desayuno buffet cenas aire libre vista hacia Zócalo plaza central magnífico lugar beber café ver amanecer ciudad desgracia ubicación central precio ruidoso noche continuamente medianoche esporádicamente juerguistas gritando amanecer Tapones oídos debe ser estándar viajes mochila ser numbskull deje solucionar…,2,2013,1
40,Reservé Best Western Best Western Paris Boulogne Podgorica bastante bien alojé allí noches huyó hacia puntos positivos habitaciones grandes menos buena ubicación frente Zócalo puntos negativos repugnante almuerzo Tbone antigua pieza carne color olor bastante extraño desayuno pobre precio MXN habitaciones sucias pies negros polvo tras pie habitación nunca cualquier habitaciones Â° piso ruidosas día incluso noche tontas gente borracha gritando lugar Zócalo desayuno almuerzocenas veces clientes en…,1,2013,0
41,lugar gran ubicación centro histórico ciudad México edificio precioso embargo antiguo edificio necesita mantenimiento especial regular edificios modernos carece mantenimiento puedes sentir justo entrar habitación húmedo dentro puedes oler humedad peor parte armario extremadamente húmedo olor insoportable decidí poner armario abrir ventana mayor ventilación día camas tan cómodas expectel Best Western veía viejo dieron habitación vistas Zócalo preciosas vistas si quieres tener vista favor ten cuenta Zócalo demasiado ruidoso incluso la…,11,2012,0
42,Situado frente Plaza independiente vieja época española difícil describir si ves arquitectura interior película zorro Antonio Banderas entonces imagen antiguo funciona bien Usted debe llamar queja varias veces conseguir desea embargo acceso wifi gratis ascensor clásico operado humanos debe ser operador cada vez quieras ir arriba Muchas veces operador disponible así subir escaleras desayuno bastante bien ubicado puede disfrutar bonita vista plaza edificios rodean plaza antigua catedral allí…,8,2012,0
43,Si quieres centro histórico Ciudad México si mejor sales puerta sólo pasos encuentra Plaza Independencia Si quieres comodidad estrellas lugar vestíbulo zonas públicas encanto puro mundo habitaciones anticuadas alfombras gastadas toallas agotado camas duras suelo bañera tragaba así duchamos profundas Ascensor estilo antiguo administrada abierta horas caminar historias pareja ocasiones personas subir Después hacer ingreso firmar mando distancia televisión funcionaba Francamente habitaciones motel cómodos Si haces reserva…,6,2013,0
44,encantó combinación mala ventilación olores baño falta cualquier tipo vista inconsistente agua caliente toallas raída atenuado ejemplo experiencia cama difícil mal finas paredes puerta divisoria significaba podía oír cada palabra habitación lado habitación interior facilitada id esperaba vistas plaza utilizada promover ubicación agradezco antiguo ciertamente estrellas anuncian ubicación excepcional dieron dos estrellas dieron clasificación,5,2013,0
45,Aunque edificio preciosa ubicación genial necesita renovación doble acristalamiento aire acondicionado así ventanas abiertas noche ruido Zócalo increíble sucia moqueta cortinas tazas café toallas rotas cambian cada día esfuerzo conseguir agujeros nunca hicieron alfombrilla desapareció primer día nunca sustituido pesar pedidos café sustituirá últimos días desagüe bloqueados tardaron dos peticiones arreglaron camas duras dirección dada recepción cambiar dinero dio billetes falsos lado positivo…,4,2013,0
46,Situado Zócalo mejor ubicación puedes conseguir ciudad México entrada Madero calle peatonal Así tráfico ruido buen restaurante vistas Zócalo personal amable servicial puede ir andando calle Madero sensación seguro compras,3,2013,1
47,alojé aquí parte viaje grupo ubicación fantástica justo plaza ciudad zona comercial peatonal puerta vigilado policía ametralladora ruido gran problema Zócalo justo cruzando calle implorándola cantantes utilizando micrófonos am pm días allí así si gente enfadados shrieking fanatismo cantando Christo entonces supongo importa alojarme ruido interno casi tan malo ascensor automático primero botones funcionar ascensor llamar pesar dijeron habitación preparada tarde limpiado…,10,2013,0
48,debería haber prestado atención todas críticas después años leer TripAdvisor comentarios pensé quejas gente expectativas realistas bueno ubicación excelente ver sitios cerca Zócalo paseo agradable partes ciudad calle Madero peatonal muchas cuadras montón tiendas restaurantes pasos habitación suficientemente limpia cama dieron ningún problema gustan colchones firmes vestíbulo bonito bien vigilado caballeros opera ascensor agradables cafetera X ml botellas agua mineral cada día agua grifo potable malo las…,10,2013,0
49,vergüenza ropa cama agujeros conseguimos picaduras pulgas mientras dormimos personal grosero extremadamente servicial habitaciones escasas general mal domingo mañana despertaron ruidoso martillazos habitación lado pesadilla miserables aquí podía esperar salir switch día siguiente,8,2013,0
50,ubicación buena cerca plaza central bello diseño arquitectónico edificio Buen tamaño habitaciones comida buena desayuno incluido mucha comida especial México restaurante planta superior edificio maravillosa vista Zócalo personal amable wifi gratuito sólo pedir código,11,2012,1
51,situado pasos plaza Zócalo catedral edificios gobierno speaker pareció personal amable acogedor dispone ascensor primero México todavía funciona reminiscencia días antaño ayudante responde timbre Ring arriba acompañará ascensor luego cierre puerta rueda luego cierre puerta rejas metal tomar piso chico tarde amable vivido Illinois años antiguo habitaciones pequeñas techos altos Si gustan camas firmes fabuloso suaves almohadas cama firme dirigida cómodo descanso ventana miraba hacia…,7,2013,1
52,pequeño justo Zócalo ciudad México bellos azulejos paredes escalera plantas precioso tragaluz encima sala segunda planta jarrones Talavera ruedas carro añadir decoración colonial personal excelente amable servicial disfrutamos diez días allí Navidades emocionante música patinaje hielo tobaggoning Zócalo balcón gran vista Catedral Nacional ruidoso h ruido gente divirtiéndose,12,2013,1
53,México D F ofrece turista visitas Aunque alojamos hizo disfrutar brunch estupendo vistas impresionantes Zócalo centro ciudad incluye Catedral Nacional Palacio Nacional oficinas federales gobierno México oficinas gobierno ciudad precioso impresionante ventaja vacaciones vistas incluía enorme pista hielo adornado tramo tobogán árbol Navidad plaza ver cuadro adjunto desayunoalmuerzo incluido panes dulces tradicionales dulce pan fruta fresca increíble tan abundante México tortas tortillas calientes chilaquiles molletes chicharrones salsa verde rojo café esposa y…,12,2013,1
54,Ten cuidado agua caliente mala distribución aparcamiento dejar zona pertenencias parking caro dic zona cerrado debido policía Federal bloqueo cierre zona mientras tratando estancia consciente incidencia basadas discusiones Bell Captain mañana Ciudad México supuesto encantado estancia reembolsará estancia,12,2013,0
55,dice título gran ubicación justo plaza Zócalo personal amable habitación daba plaza así hermosa animada día noche embargo si buscando privacidad tiempo difícil dormir bajo ruido ruidos reserve ruidoso día noche ruidos construcción gritos altos micrófono prevalece casi tiempo paredes finas así habitación nunca tranquilo cuanto instalaciones minimalista estrellas refrigerador calentadoresAC etc Ascensor pasado moda así si buscando tierra importa sonoridad bien usted,11,2013,0
56,habitación sexta planta vista perfecta Catedral Zócalo Fácil acceso destinos pie salir paso autobús salir excursión ciudad cuadra tapones oídos imprescindibles siempre hacer plaza principal amigos alojados cuidad extremo sur bloque pagar veces noche mismos problemas ruido,10,2013,1
57,Gran ubicación baños necesidad urgente mantenimiento renovación colchón necesario cambio noise reduction ventanas recomendado desayuno genial mejor comer cenar allí vino precio allá valor Excelente personal servicio especialmente botones grosero Oswaldo Zertuche propietario necesita invertir posible ubicación piscina bañera hidromasaje terrible conexión wifi demasiado lento puro señal volver nunca cuidado,4,2014,0
58,alojes aquí Excelente ubicación edificio falta toallas servicio habitación patética dos bebidas Entonces quitaron días ir recepción solo rió servicio aquí digno nombre camas terrible cajas ascensor eratic comida desayuno etiquetados música puede decir hablar puedo bastante mal recorriendo Yutucan selva estrellas basura,3,2014,0
59,trata ubicación fantástica vistas impresionantes personal amable servicial organizado excursiones ciudad pirámides maravillosos confianza digno guías habitación daba Zòcalo solo vista pena visitarlos cada peso gastado pequeño precio habitación desayuno cada mañana techo conexión internet wifi contacto ir suficientemente bueno enviar casa cuantos correos electrónicos supuesto edificio edificio antiguo camas pequeñas si quieres corazón toda acción,1,2014,1
60,Fantástica ubicación justo Zocálo fácil acceso principales lugares interés bonito edificio histórico coloridos azulejos antiguo ascensor administrada noche así subir tramos escaleras excelente buffet desayuno,1,2014,1
61,bastante excepcional ubicación Zócalo justo enfrente Palacio PresidencialUsted puede sentarse balcón ver guardas bandera encantadora decoración hermosos azulejos general carácter,3,2013,1
62,entrar vestíbulo increíble personal recepción mejor servicio cliente habitación alojamos mediocre cortinas capiteles así luz caló habitación acceso Internet funcionaba allí dieron muchas excusas finalmente después horas informó roto habitaciones viejas altura aire acondicionado puede ser ruidoso si dan plaza principal,4,2014,0
63,única razón reservé asqueroso punto encuentro excursión Peregrine Adventures Majestic vergüenza fotos desgracia proyecto olor suciedad seguro alfombras nunca sido limpiadas impregnan analogía olor habitación entrar gran ciudad India temperatura siendo c congestión inmediata ojos llorosos calor aire acondicionado baño parecía haber sido limpiado años caminar habitación zapatillaschancletas razones salud salí empresa nunca excusa reservar grupo asqueroso sucio Majestic es…,4,2014,0
64,Pro ubicación puede caminarmetro personal atento servicial ambiente gran edificio antiguo Limpieza habitación vestíbulo restaurante azotea impecable terremoto Â° piso laminados ningún daño aire par problemas fontanería inmediatamente resuelto accesorios viejo problema electircal inmediatamente resuelto ruido noche allí semana quizás noches adecuado debido ubicación ambiente importa apliques et recelos encantaron camas duras mientras limpio encantó ascensor solo caminamos cada día nunca esperar volver Así que…,4,2014,1
65,lugar fantástico turismo justo Zócalo frente Palacio Presidencial vestíbulo agradable Usted puede alquilar taxi día través ver cosas bus tours ofrecen restaurante terraza magnífica vista Catedral comida buena desayuno buffet caro menos incluido habitación pedimos café bollos dulces disfrutamos amable personal vistas Dos problemas internet casi nunca funcionó vez casi nunca habitación básica vieja alfombras vistas moho extraño Si internet fijo habitaciones superior podría ser lugar encantador alojarse,4,2014,0
66,Puntos positivos ubicación genial Justo centro Zócalo Vimos bandera bajaron planteó cada día pie puntos interés turísticos estación metro etc bien precio si presupuesto ajustado negativo habitaciones pequeñas personal limpieza puede perder día limpieza ninguna explicación bañera vaciaba lento sólo fijado días tarde llaves habitación desactivad cada día dolor camas difícil dormir suelo box spring puedo creer llaman colchón WiFi inconsistente mejor casos comimos allí beber bar escaleras resumen Gasta extra noche alójate en…,4,2014,0
67,alojamos mayo noches Primero déjeme decir smth positiva ubicación estupenda lado Zócalo edificio toque histórico Tomar desayuno terraza mientras disfruta vistas plaza bien obstante pueden hacer huéspedes fumadores Ahora dónde empezar Llegamos noche después regresar Europa buscando cama dormir primera habitación dieron ventana hacia plaza hicieron registro acústico asistir concierto ruidoso podíamos pensar dormir ventanas aislado así aquí así pudimos cerrar totalmente habitaciones aire acondicionado Pedimos habitación nos…,5,2014,0
68,Vivo México encanta tomar amigos visitan parada agradable fogata copa lugar Cómo jamás primera vez comimos allí peor comida vida papa puré sopa carne quemada seca pescado preparado verduras si sido combinado crema días blanda sabor Supongo único bueno cocacola pedí opción sólo buffet Sólo empeorar cosas cobran si chef cordon bleu azul bebidas alcohólicas pagué dos niños dos adultos dólares vale pena céntimo,5,2014,0
69,situado justo Zócalo ciudad México habitación vistas plaza genial Siempre hacer plaza hace vista espectacular parece sofisticado personal amable problemas internet primeros días arreglaron única razón daría estrellas cama dura utilizamos mantas suave aire acondicionado puedes pedir ventilador eléctrico recepción general gustó recomiendo encarecidamente,5,2014,1
70,ubicación podría ser mejor patio entrada interior precioso habitaciones podrían amor duda nuevos colchones ofrece desayuno precio terraza bastante bonito general elegiría nuevamente ubicación iba ver si podía hacer mejor primero,4,2014,0
71,ciegos reservado Best Western Majestic Ciudad México través Hotwire Después haber recibido confirmación nombre consternado leer críticas viajero aquí acercamos próxima estancia miedo embargo experiencia superó expectativas pareció absolutamente encantador moderno cortados beige uniforme Quizás viajeros esperábamos suburbios mayoría cadena colchón difícil sólo ascensor vieja usanza agua ardiendo caliente wifi irregular pareció problema México Europa asunto gimnasio piscina Dicho puedo imaginar…,4,2014,1
72,Así mejor único realidad frente plaza Zócalo anuncian Zócalo aceras cercanas restaurante parte superior patio balcón puede ver toda zona habitaciones normales suficientemente limpia suelo quedar aquí noche dos aquí llega primera vez ciudad México luego hacia exterior lugar cerca trabajando,4,2014,1
73,seguro cada revisión menciona ubicación fantástica justo Zócalo vistas habitaciones restaurante inmejorable pareció azulejos vestíbulo escaleras excepcional personal servicial Nunca alojado lugar antiguo ascensor requiere operador sexta planta planta superior aparte restaurante vistas calle peatonal cerca esquina así gran vista Catedral Metropolitana habitación bien WiFi fiable habitación par días ir vestíbulo conectar Habitación cómoda colchón colchón duro visto aire acondicionado estuvimos…,7,2014,1
74,excelente ubicación espacios públicos bien maintaied vista restaurante puede mejorar embargo evitar bufé noche habitaciones cansado perfectamente adecuado especialmente precio,7,2014,0
75,ubicación mejor si quieres corazón toda acción Encontrará patio interior precioso restaurante terraza vista estupenda personal amable,10,2013,0
76,Justo Zócalo calle peatonal puerta Heritage construido muchas características originales aún allí Hermosos azulejos escaleras ascensor pintoresco cañería circa enteré día estancia días cómo ser húmedos pies usar lavabo habitación grande confortable personal servicial agradable Buffet desayuno buena selección platos cocinados fruta fresca,6,2014,1
77,sentimos seguros corazón ciudad México agradable manera mexicana auténtica ambiente divertido piso arriba restaurante ofrece vista estupenda comida cuadrada buena disfrutar amigos,11,2014,1
78,Ubicación Excelente bonitas vistas buscando Zócalo obtiene primera vez ejércitos elevó bandera derecha Catedral aztecas bailarines gater lado Tianguis mercado agricultores bares restaurantes tiendas olvidarlo necesitas poca distancia Gran experiencia,10,2014,1
79,literalmente zócalo calle peatonal balcón asiento primera fila Zócalo Palacio Nacional ubicación perfecta aspectos personal recepción ayuda servicial quedamos cortos brusco respuestas embargo bueno habitaciones dieron habitación dos camas INDIVIDUALES pedimos cuna dijeron ninguna pareció raro vestíbulo zonas comunes preciosas habitaciones limpias aunque escasa bien camas cómodas mantas hecha jirones,11,2014,1
80,Viajamos ciudad México día Muertos celebraciones habitación daba Zócalo magnífico Aunque sólo pequeño ascensor operado empleado rápido responder solo pulsar botón llamada bellamente decorado habitación agradable baño ducha agradable,11,2014,1
81,contentos habernos alojado Best Western Majestic medio sucediendo Justo Zócalo principales atracciones turísticas Ciudad México Aquí pensamos limpio bonito impresionante vestíbulo cómoda pequeño ascensor esperar veces personal amable servicial Si gusta subir escalones alojas piso arriba escalones Entrada oscuro noche zona histórica cartel iluminado seguridad todas partes incluyendo policías cada esquina Salga puerta calle bulliciosa ahora zona paseo turístico un…,10,2014,1
82,alojarse si quieres increíble vista Zócalo personal agradable servicial cambiaron suite tras habitación inicial cubierta cucarachas Prepárate montón ruido ubicación Internet WiFi irregular Presión agua terrible noche decepcionado si increíble vista después Restaurante solo sirve buffet allí decepción,1,2015,0
83,hermano viajamos ciudad México unas vacaciones decepcionó personal mostrador amable servicial habitación bien precio habitación lujoso aún así bueno ubicación perfecta Justo zócalo podía ver Catedral ventana montón restaurantes tiendas cerca interior diseño guay única auténtica restaurante terraza azotea maravilla vista vuelo pájaro Zócalo empleados amables serviciales Hablo español quería practicar inglés conmigo bonito gente recepción hablan inglés si…,8,2014,1
84,podría ser bonito bien cuidado Habitación marginal mejor casos Internet wifi funcionaba habitación dieron lugar parecía frío quizás techos altos México día Muertos ubicación perfecta gustó plaza Zócalo sentimos seguros zona Zona preciosa desayuno incluido comer restaurante ascensor incómodo dirigido empleado Siempre administrada esperas parecía veces Excelentes restaurantes tiendas cerca así lugares históricos precio razonable así quizás esperaba demasiado habitación,10,2014,0
85,Magnífica ubicación vistas Zócalo poca distancia pie galerías arte desayuno abundante montón platos calientes cereales bollería frutas Edificio histórico hermosos mosaicos necesita renovación Poca presión agua colchas manchadas cucarachas wifi servicio habitaciones recepción pobre impredecible,11,2014,0
86,Vistas Zócalo mejor ubicación ciudad Pide Zócalo ver disfrutar terraza montón restaurantes excelente comida tiendas justo verdadera ciudad nunca duerme,7,2014,1
